label	title	h2	content
sport	Tokyo 2020: Great Britain's Will Bosi seeks Olympic sport climbing place	"Moving to Sheffield and teaming up with Shauna CoxseyCouples goals - how Bosi's girlfriend is helping his Olympic bidSport climbing has ""improved massively"" pre-Tokyo 2020"	"Media playback is not supported on this deviceBritain's Will Bosi admits attempting to master three climbing disciplines is a ""massive challenge"" but is backing himself to qualify for Tokyo 2020.Sport climbing makes its Olympic debut next year as a triathlon-style competition with speed, bouldering and lead forming a combined event.Bosi needs a top-six finish in Toulouse this week to reach the Games.""It would be a dream to go to the Olympics,"" he tells BBC Sport.""It's difficult because we're basically having to learn and masters three different sports, which is like doing a 100m sprint, the 400m and then a 5,000m,"" he adds.""I know it will be a tough competition but I grew up watching the Olympics and I'm going to do everything possible [to get there] now my sport is in too.""Team-mate Shauna Coxsey claimed a place in the Games by winning World bronze in August, and Bosi has switched his base from Edinburgh to Sheffield in order to train alongside the multiple bouldering World Cup champion.Media playback is not supported on this device""Lead has always been my specialism and it's the opposite end of the scale to bouldering in terms of it being an endurance event,"" he says.""Training with Shauna is so useful because new styles and technical aspects usually come into boulder before they make it into lead, and I'm picking up things that are making a massive difference.""The Scottish climber believes he has also made significant improvements in his speed climbing in recent months after his girlfriend, Elle Duffield, learned Russian.""She's very smart and basically the brains of the operation,"" Bosi says with a smile.Duffield, who is a climber herself, says: ""The best speed nations in the world are the likes of France, Russia and China.""""I already knew French and could watch their videos online but they don't tend to share much, whereas the Russians do. So I've been learning that [language] so I can understand what they're explaining and then work that into Will's speed programme.""While the overall reaction to sport climbing's inclusion in the Olympics has been positive, some athletes expressed frustration that the traditionally specialist disciplines of speed bouldering and lead climbing were combined for one medal event per gender.Multiple bouldering and lead world champion Adam Ondra of the Czech Republic initially suggested he would not bid to take part in Tokyo 2020 by way of protest.However he and many others have now changed their opinion due to the growth of the sport and attention it has received in the build-up to the Games.""The sport has got a lot bigger here in the UK, where there are climbing centres being expanded and new ones popping up all the time,"" reveals Bosi.""The style of climbing is changing and bouldering is becoming more gymnastic and explosive, which fans love to watch. Going into the Olympics is also pushing up the standard massively.""If Bosi fails to achieve the desired top-six result at the IFSC Combined qualifier in France this week he will have one final opportunity to qualify for the Tokyo 2020 Olympics via the sport's European championships in Moscow next March."
sport	Sports Personality 2019: Vote for your Greatest Moment and World Sport Star awards	Greatest Sporting Moment of the Year shortlistWorld Sport Star of the Year shortlist	Voting is now open for the BBC's Greatest Sporting Moment and World Sport Star of the Year awards.There are six nominees in each category with voting via the BBC Sport website from 09:00 GMT on Friday.The votes will stay open until 09.00 GMT on 6 December. You can only vote once in each category.The awards will be presented at the Sports Personality show in Aberdeen on BBC One on Sunday, 15 December - further details are available at bbc.co.uk/sports-personality.In 2018, the England netball team's dramatic Commonwealth Games triumph was voted the year's greatest sporting moment. Here are the six contenders this time:Kompany's goal puts Man City on verge of title6 May, ManchesterManchester City found inspiration in long-serving captain Vincent Kompany as they nervously sought a goal to see off Leicester City in a thrilling title race with Liverpool.He powered a 25-yard shot into the top corner of the net to put Manchester City top of the table with one game to go in their domestic treble-winning season.Origi seals Liverpool comeback against Barcelona7 May, LiverpoolAnfield was rocking as Divock Origi hit his second goal, and Liverpool's fourth, to beat Barcelona 4-0 and book a place in the Champions League final.Three down from the first leg, Origi scored early on and then completed the stunning 4-3 aggregate triumph with another after 79 minutes. Liverpool went on to win the trophy for a sixth time.Bronze scores stunner in World Cup quarter-final27 June, Le HavreA thunderbolt from the edge of the area put England 3-0 ahead against Norway in their Women's World Cup quarter-final.Lucy Bronze's strike soared into the roof of the net and prompted former England men's captain David Beckham into a celebratory high five in the crowd.Buttler breaks the stumps to seal World Cup victory14 July, LondonOn the last ball of a dramatic super over after a tied match, wicketkeeper Jos Buttler sealed a historic Cricket World Cup final victory for England against New Zealand.As the Kiwis sought a winning second run, he whipped off the bails from Jason Roy's long throw to run out Martin Guptill and spark delirious scenes at Lord's.Stokes hits four to seal famous Ashes win25 August, LeedsBen Stokes sealed England's astonishing one-wicket comeback victory over Australia in the third Ashes Test at Headingley with a boundary through the covers.Six weeks after his Cricket World Cup heroics, he sank to his knees following the four which completed a match-winning unbeaten innings of 135.Pettersen's final putt secures Solheim Cup victory15 September, GleneaglesUnder the ultimate pressure of holing the winning putt, Suzann Pettersen made no mistake with a birdie to clinch Europe's thrilling victory over the United States.The Norwegian wept uncontrollably after an emotional 14½-13½ victory at Gleneagles and announced she would end her professional career on that winning note.You can vote for one of six nominees for the award, known as Overseas Sports Personality of the Year until 2017 and won last year by Italian golfer Francesco Molinari.Simone BilesAge: 22 Sport: GymnasticsFive World Championship gold medals raised her record-breaking medal tally to a total of 25 as Biles continued to redefine what was possible in gymnastics.The jubilant American twisted, tumbled and somersaulted her way to a 19th world title triumph on the floor in Stuttgart.Eliud KipchogeAge: 35 Sport: AthleticsOne of sport's great barriers was broken in October, when Kipchoge became the first man to run a marathon in under two hours.He completed the 26.2 mile (42.2km) course in one hour 59 minutes and 40 seconds, six months after the Kenyan had won the London Marathon for a fourth time.Siya KolisiAge: 28 Sport: Rugby unionHistory was made in stunning style as Kolisi, the Springboks' first black captain, skippered South Africa to a 32-12 victory over England in the Rugby World Cup final.The flanker was praised for his leadership in Japan and helping to unify a nation despite a difficult social and political backdrop.Megan RapinoeAge: 34 Sport: FootballSix goals from Rapinoe helped the USA win the Women's World Cup in France as she claimed the Golden Boot for top scorer and Golden Ball for best player in the tournament.Named the leading women's player at the Best Fifa Football Awards, she also became known for her outstretched arms when celebrating goals, and powerfully expressed views on equality.Steve SmithAge: 30 Sport: CricketThe thorn in England's side, Smith enjoyed a prolific series to help Australia retain the Ashes despite being ruled out of the third Test after suffering a concussion.He scored a total of 774 runs, at an average of 110, and was awarded the Compton-Miller Medal for the best player in the series.Tiger WoodsAge: 43 Sport: GolfEleven years after his last major title, the injury-plagued Woods produced one of sport's great comeback stories to win the Masters at Augusta.The 43-year-old, written off by many golf fans and pundits as he battled serious injury problems, later equalled the PGA Tour record of 82 tournament wins with victory at the Zozo Championship in Japan.Voting for both awards will close at 09:00 on 6 December.
sport	Disability sport calendar	JANUARYFEBRUARYMARCHAUGUST	BBC Sport picks out the key sporting events of 2020.*The list will be updated with further fixtures and events as they are confirmed; dates and venues are subject to change.15-19: Tweed Heads International Wheelchair Tennis Open22-26: Melbourne Wheelchair Tennis Open29-1 Feb: Australian Open Wheelchair Tennis event30-2 Feb: UCI Para-cycling Track World Championship, Milton, Canada13-16: Wrexham Wheelchair Tennis Tournament14-16: World Para-swimming World Series, Melbourne, Australia18-22: Bolton Wheelchair Tennis Tournament20-23: World Para Powerlifting World Cup, Manchester27-1 Mar: World Para-swimming World Series, Lignano Sabbiadoro, Italy29-7 Mar: World Wheelchair Curling Championship, Wetzikon, Switzerland14-17: World Para Athletics Grand Prix, Dubai17-22: Cajun Classic wheelchair tennis, Baton Rouge25-28: World Para-swimming World Series, Sao Paulo, Brazil26-28: World Para Athletics Grand Prix Sao Paulo25-6 Sept: Tokyo Paralympics
sport	Zara Hyde Peters: UK Athletics board decision 'for the good of the sport'		"Zara Hyde Peters agreed with the UK Athletics board that she would not take up the position of chief executive ""for the good of the sport"".Due to begin her role with UK Athletics on 1 December, Hyde Peters said the decision was ""one of the most painful experiences I have ever had to face"".A report by The Times alleged husband Mike Peters was allowed to coach at a club where Hyde Peters was vice-chair despite being banned from teaching over an ""inappropriate relationship"" with a 15-year-old schoolgirl.Speaking about the decision for the first time, Hyde Peters told Athletics Weekly: ""Trial by media is almost impossible to deal with and is not a process that properly protects the rights of those caught up in it.""She added: ""I have been a lifelong participant in - and contributor to - the sport of athletics. I have always respected the interests of the sport and my fellow competitors, the officials and all the many volunteers involved; these are the most important things to me.""According to The Times, former Great Britain distance runner Hyde Peters admitted her husband had coached after his teaching ban, but insisted that ""he never coached athletes under the age of 18"".Peters was barred from teaching because of the inappropriate relationship between 2004 and 2005 while he worked as a PE teacher at Bilton School, Rugby. He was found guilty of unacceptable professional conduct after being cleared of sexual misconduct.Hyde Peters, 55, has also resigned from her role as a Birmingham 2022 Commonwealth Games board member and as the chair of its Athletes' Advisory Committee.Funding agency UK Sport will hold talks with UK Athletics chairman Chris Clark in the coming days to discuss the ramifications of the controversy.UK Athletics - which has received £27m of public funding in the period leading up to the Tokyo Games - is already under scrutiny over its handling of the Alberto Salazar scandal, and has now seen its chair, performance director and incoming chief executive depart in the last 10 months."
sport	Doping in sport: Russia face new ban from sport for inconsistencies in data		"Russia face the possibility of a new ban from competing in sport over inconsistencies in anti-doping data.The World Anti-Doping Agency's (Wada) compliance review committee is expected to recommend the nation's anti-doping agency Rusada be made non-compliant.A recent inquiry found positive doping results from data obtained in 2017 were missing from the version acquired in January 2019.Any verdict is likely to be made at the end of the year at the earliest.Wada said in a statement that its executive committee will meet on 9 December to consider a formal recommendation from its independent compliance committee.Rusada was initially declared non-compliant in November 2015 after a report by sports lawyer Professor Richard McLaren, commissioned by Wada, alleged widespread corruption that amounted to state-sponsored doping in Russian track and field athletics.A further report, published in July 2016, declared Russia operated a state-sponsored doping programme for four years across the ""vast majority"" of summer and winter Olympic sports.As a consequence competitors were unable to compete under the Russia flag at Rio 2016, while the Russia team was banned from the Paralympics that year.In 2018, Wada reinstated Rusada as compliant after the national agency agreed to release data from its Moscow laboratory from the period between January 2012 and August 2015.However, positive findings contained in a version courtesy of a whistleblower in 2017 were missing from the January 2019 data, which prompted a new inquiry."
sport	Sports Personality of the Year: World Sport Star - privacy notice		This award goes to the world sport star whose achievements have most captured the public's imagination during 2019.The award is not open to those sportspeople who qualify for the main BBC Sports Personality of the Year award under its qualification criteria (see above).The Panel will put forward a shortlist of contenders for this award.The public will decide the winner from the shortlist of contenders prior to the main show with an online vote. This will be overseen by an independent adjudicator.In the unlikely event of a tie in the online vote amongst the two contenders obtaining the highest number of votes, the award will be shared amongst those two.The vote will open 29th November 2019 at 09:00 and close on 6th December 2019 at 09:00.The winner may be announced via a press release and on the BBC Sport website in advance of the live programme on Sunday 15th December 2019.Your trust is very important to us. The BBC is committed to protecting the privacy and security of your personal information.It is important that you read this notice so that you are aware of how and why we are using such information. This privacy notice describes how we collect and use personal information about you during and after your relationship with us, in accordance with data protection law.Additional information can be found in the BBC's Privacy and Cookies Policy. Where there is inconsistency between those documents and this notice, this notice shall prevail.It's up to you how you use our services. And you can manage or delete your BBC account at any time. There's more info on managing your account here. Because we're a public service, we will help you make informed decisions about your information, so everyone can get the best out of digital technologies and the BBC. You can find out what we're doing with your information here. You can find out more about cookies here.What will we collect and how we use it?The BBC is the data controller of your information that is collected. This means that the BBC decides what your personal data is used for, and the ways in which it is processed.The personal information that is collected is BBC account details and voting choice.Telescope is the BBC's data processor and is contracted to the BBC to provide the platform. This means Telescope can only use your personal data within the parameters set by the BBC. Telescope will collect your IP address along with other BBC account information such as BBC iD, age category and geographic location derived from your IP address in order to provide a robust and reliable vote result to the BBC (this will include counting and capping votes as well as checking for irregularities).The lawful basis for processing is the legitimate interests of the BBC to deliver valid votes to the BBC's audience - for both those who take part and for those that consume content based on those results. This yields richer and more engaging content for all of our audiences and is not an unreasonable infringement on the rights and freedoms of the individual BBC audience members.Retaining your informationThe BBC will retain your personal data for a period of 2 years following collection - for internal and external audit purposes consistent with industry standards, unless a longer retention period is required by law. At that point your personal data will be deleted. For more information about how the BBC processes your data please see the BBC's Privacy Policy, available at http://www.bbc.co.uk/privacy.Sharing your informationYour personal data will not be shared with any additional third parties outside of the BBC and Telescope without your prior permission, except as required by law.Your rights and more informationIf you need help with managing your account settings and the information we hold, you can find out how to do this here.If you have any questions about how the BBC handles your personal information, or you wish to find out about your rights, please visit the BBC's Privacy and Cookies Policy. You will also be able to find out more information about how the BBC processes your information and how you can contact the BBC's Data Protection Officer.If you raise a concern with the BBC about the way it has handled your personal information, you are entitled to lodge a complaint with a supervisory authority. In the UK, the supervisory authority is the Information Commissioner's Office (ICO), which can be contacted at: https://ico.org.uk/concerns/.
sport	Sports Personality of the Year: World Sport Star - frequently asked questions	GENERALONLINE	Who can I contact if I need assistance / have further questions?BBC Helpline: 0370 010 0222 (standard geographic charges from landlines and mobiles will apply).Why can't I vote outside the UK, the Channel Islands or the Isle of Man?No method of voting offered is available outside of the UK, the Channel Islands and the Isle of Man.How do I vote online?In order to cast your vote, you must sign in to your BBC account which you can do here. If you do not already have a BBC account you will need to register here before you can vote.Once you have created a BBC account you are then ready to go. You are advised to sign in to your BBC account before the vote opens.Once the vote opens, you will then be able to cast your vote online here.Why is the online vote not displaying properly?If the vote is not displaying correctly on your device then please try refreshing the page or using a different browser or device.If the vote is still not displaying, or you can see a white box where the vote should be, you may not actually be signed in, even if it appears that you are or you don't remember signing out. To check if you are signed in, click the BBC account profile button on the left hand side of the top bar - this should allow you to sign in correctly - or alternatively go to bbc.com/signin. Once you're signed in, head back to the vote webpage bbc.co.uk/spoty and continue to cast your vote. If you are able to clear the cookies in your browser then this may also resolve the problem.If you are using an ad-blocker then this may inhibit your ability to cast your vote. If you disable the blocker and refresh the page then you should be able to cast your vote.Why am I getting a white box where the vote should be displayed?If you have chosen to disable third party cookies in your browser on any device then you may not be able to vote. After you have signed in or registered your BBC account, if you are seeing a white box where the vote should be then you will need to enable third party cookies in your browser on that device or use another browser where you have this already enabled.How many times can I vote online?You can vote once online.Can I vote using my smart phone or tablet?You can vote online using your mobile phone, tablet or your home computer.Can I vote via the BBC iPlayer app?You cannot vote via the BBC iPlayer app on your Smart TV, tablet or smart phone. Please visit bbc.co.uk/spoty to vote where you may need to sign in again or register to cast a vote.Why is the 'VOTE NOW' button not working?If you're trying to vote but the 'VOTE NOW' button has turned grey and you're having trouble submitting your vote then you might not have correctly selected a vote option. To select your chosen option, click the box or image you want to vote for until the text box changes colour and a tick appears in the right hand corner of the text box. The 'VOTE NOW' button should now be available to click and submit your vote. You can change your vote option at any time before you have clicked 'VOTE NOW' by just clicking another option until it changes colour and the tick now appears in that box. Once you have submitted your vote you cannot change your vote.Why do I get the 'Thank you for voting' message when I vote on another device or browser?This vote is capped. If you have already voted and you go to the vote page on another browser or device and where you are already signed in, or subsequently sign in to your account on the vote page, then you will see the 'Thank you for voting' message because you have already cast the maximum number of votes allowed.Why is the vote not working on my version of Internet Explorer?The default security settings of some Internet Explorer browser versions may prevent the vote from displaying on the page correctly. Please use another browser such as Chrome, Firefox or Safari or a different device and visit bbc.co.uk/spoty to cast your vote when it is open.What if I can't remember the password to my BBC account?If you have a BBC account, but can't remember your password, you'll need to reset it. You can find out how to do that here.When registering for a BBC account what information do I need to give?This depends on your age. We ask everyone to provide us with your date of birth, gender and a secure password.For anyone aged 13 and over, we ask users to provide an email address, and let us know if they would like to receive emails about things they'll love. Your email address lets you reset your password if you forget it. And it means we can get in touch if we need to tell you about something new, like a change to our terms of use. For anyone under 13 years old, we ask you to provide a username, but no email, so it's important you remember it (as well as your password), because we won't be able contact you.If you are 18 years or older, we ask for your postcode, and if you are under 18, we ask for your hometown.If you previously used to sign in with a username, you'll need to use your email address from now on if you are over 13.If you previously signed in with Facebook or Google+, we unfortunately do not use these platforms to sign in anymore.If you haven't signed in to your account in the last year, then it may have been closed unless you have signed in with an email address. If that's the case, you will need to register for a BBC account again.Why are you asking for my age, postcode/hometown or gender when I register for a BBC account?We use your age, postcode/hometown and gender to give you relevant local info online and in any email newsletters you sign up for. We also use this information to ensure we are making something for everyone, as part of our public service remit.Some parts of the BBC are only meant for certain ages. We also need to know how old you are to make sure you can use the parts that are meant for you.Find out more about how we use your data here.What if I don't want to register now?If you decide not to proceed with registering your BBC account then unfortunately you will not be able to cast your vote online.Why when I click on sign in am I not taken to the sign in page?If you click on sign in and you are already signed in to your BBC account then you will be directed to the BBC homepage or you will remain on the same page. That means you are ready to cast your vote once it opens here.I'm having another problem signing into my account that's not covered here - where can I go for help?We have a separate page that can answer your questions around signing in to your BBC account, and also put you in touch with someone if you are unable to find the answer you need. Visit here.I don't have an existing BBC account, and need to register for one so I can vote, but need help. Where can I go?We have a separate page that can answer your questions around registering for a new BBC account, and also put you in touch with someone if you are unable to find the answer you need. Visit here.If you have not used your account in a while and have forgotten your password you will need to click on the 'forgotten password' link before the show to allow enough time for a new password to be sent through. This will only be possible if you provided a valid email address when registering.What exactly is a BBC account?If you have any questions about your BBC account you can find some FAQs here which might help.Why are you asking if I want email updates about more things I'll love?You can decide if you want to receive occasional emails to tell you about BBC programmes and services or not. It's completely up to you. We may personalise them based on your location and how you use the BBC online site, to help you get the most from the BBC. Find out more about the emails here. You can also unsubscribe at any time.Is there a cost to vote online?No, you will not be charged to vote online by visiting bbc.co.uk/spoty. Please check your broadband or mobile contract to check the cost of using data services.
sport	Sports Personality of the Year: World Sport Star - terms and conditions		This award goes to the world sport star whose achievements have most captured the public's imagination during 2019.The award is not open to those sportspeople who qualify for the main BBC Sports Personality of the Year award under its qualification criteria (see above).The Panel will put forward a shortlist of contenders for this award.The public will decide the winner from the shortlist of contenders prior to the main show with an online vote. This will be overseen by an independent adjudicator.In the unlikely event of a tie in the online vote amongst the two contenders obtaining the highest number of votes, the award will be shared amongst those two.The vote will open 29th November 2019 at 09:00 and close on 6th December 2019 at 09:00.The winner may be announced via a press release and on the BBC Sport website in advance of the live programme on Sunday 15th December 2019.In order to vote, you must be a UK resident (including Channel Islands and the Isle of Man) and not be a BBC employee, employee of any of its subsidiaries or affiliates, close relative of any such employees or connected to the vote directly or through a close relative.Votes can be made online by accessing http://www.bbc.co.uk/sportspersonality - you cannot vote by any other method. Votes received outside of the voting window outlined above will not be counted.Online voting requires you to log into the page with your BBC account at https://www.bbc.com/signin. If you do not have a BBC account, you can register for one for free at https://www.bbc.com/register. If you have any trouble registering or signing in, you can visit the help pages at https://www.bbc.com/signin/help. Please check your broadband or mobile contract to check the cost of using data services. You can only vote once per BBC account.No correspondence relating to the vote will be entered into.There will be no prize for anyone taking part in the vote.The BBC reserves the right to disqualify entries or suspend voting if it has reasonable grounds to suspect that fraudulent voting has occurred or if it considers there has been any attempt to rig the voting. The BBC has the right to substitute an alternative selection method at its absolute discretion. For the purposes of investigating possible voting irregularities when voting on BBC web pages using BBC account the BBC may use cookies, log IP addresses or analyse the information from your BBC account. The BBC will not publish this information or provide it to anyone without permission, except where required for enforcement of these terms.Online votes are subject to the BBC Privacy Policy, how the BBC uses cookies and BBC online Terms of UseThe BBC reserves the right to change, cancel or suspend the vote at any time.The BBC cannot accept any responsibility whatsoever for any technical failure or malfunction, or any other problem with any online system, server, provider or otherwise which may result in any vote being lost or not properly registered and recorded.This vote complies with the BBC's Code of Conduct for Competitions and Votes: BBC Code of Conduct for VotingThese Terms and Conditions are governed by the laws of England and Wales.
sport	Women's football: One in five adults support sport, as survey finds 60% rise in fans		"Almost one in five adults in the United Kingdom would call themselves a women's football fan, a survey conducted by analysts Nielsen Sports has found.That represented a 60% increase in the past two years, while the survey also found a rise in occasions where women's football is discussed by fans in pubs.Of the 29,252 adults questioned in the UK for the study, 19% called themselves a supporter, up from 15% last year.There was also a rise in fans listening to the women's game on the radio.Television remained the main way that fans informed themselves about the sport, but 33% of women's football fans said they use the radio for their sports news in 2019, compared to 24% in 2018.Nielsen also found that fans of the women's game were more likely than supporters of men's teams to have disposable income.""Our analysis shows that support for women's football in the UK is continuing to grow and quickly,"" Nielsen Sports' Lynsey Douglas said.""Women's football fans are more likely than followers of the men's game to have families and to be key decision-makers when it comes to making purchases for the family.""The data was released after a record-breaking weekend for the Women's Super League - England's top flight - with more than 70,000 people turning up to watch the six top-flight matches on Sunday.A league-record crowd of 38,262 saw Arsenal's 2-0 win at the Tottenham Hotspur Stadium, while Anfield hosted its first WSL fixture as 23,500 fans saw Everton beat Liverpool in the Merseyside derby.Chelsea's home win over Manchester United at their usual Kingsmeadow ground also saw a record broken, as the 4,790 sell-out was the highest for a WSL game held at a non-Premier League stadium.WSL attendances are up more than four-fold since 2018-19 on average so far, after a record-breaking 28.1m people watched BBC coverage of this summer's Women's World Cup on television and online.BBC Sport has launched #ChangeTheGame to showcase female athletes in a way they never have been before. Through more live women's sport available to watch across the BBC in 2019, complemented by our journalism, we are aiming to turn up the volume on women's sport and alter perceptions. Find out more here."
sport	Rally Australia: 'It's impossible to think about sport' - Meeke		"Northern Ireland's Kris Meeke says ""it's impossible to think about sport"" after Rally Australia was cancelled because of ""catastrophic"" bushfires.The final round of the World Rally Championship was due to take place this weekend in New South Wales.Three people have died and more than 150 properties have been destroyed in the state since Friday.""To cancel the rally was absolutely the correct decision,"" Toyota boss Tommi Mäkinen said.The cancellation of the final round ended any chance Toyota had of beating Hyundai to the manufacturers' championship, however Mäkinen said that the events in New South Wales had put the sport in perspective.""Of course, the team originally came to Australia to try and fight for a championship, but in these terrible circumstances, we have not been thinking about that at all,"" said the four-time WRC champion.""Our thoughts have only been with the people that have been affected by what has happened: They are the most important consideration, far more important than any rally, so we really did not wish for it to go ahead.""We want to help the situation in whatever way we can, and hope that people's lives can return to some level of normality as soon as possible.""Several drivers visited the Rural Fire Service in New South Wales to show their support for the local emergency services.""Fire is an element that we don't really have so much of in Europe. Here it is quite common but not on this scale,"" Meeke told Toyota Gazoo Racing.""Hopefully they can keep it under control but until there is a decent amount of rainfall then I don't think the threat will go away.""Meeke's comments were echoed by team-mate Ott Tanak, who won the drivers' championship at the last round in Spain.""Safety always comes as a priority, so when it comes to the cancellation of the event it really doesn't matter at all,"" he added.""We really wish the locals all the best and hopefully they can stay strong."""
