url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://thegioididong.com/dtdd/samsung-galaxy-note-10-plus	Điện thoại Samsung Galaxy Note 10+	thegioididong	Dynamic AMOLED, 6.8", Quad HD+ (2K+)	Android 9.0 (Pie)	Chính 12 MP & Phụ 12 MP, 16 MP, TOF 3D	10 MP	Exynos 9825 8 nhân	12 GB	256 GB	MicroSD, hỗ trợ tối đa 1 TB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4300 mAh, có sạc nhanh
https://thegioididong.com/dtdd/vivo-y19	Điện thoại Vivo Y19	thegioididong	IPS LCD, 6.53", Full HD+	Android 9.0 (Pie)	Chính 16 MP & Phụ 8 MP, 2 MP	16 MP	MediaTek MT6768 8 nhân (Helio P65)	6 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a50s	Điện thoại Samsung Galaxy A50s	thegioididong	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 8 MP, 5 MP	32 MP	Exynos 9610 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/oppo-reno2-f	Điện thoại OPPO Reno2 F	thegioididong	AMOLED, 6.5", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	16 MP	MediaTek Helio P70 8 nhân	8 GB	128 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-a30s	Điện thoại Samsung Galaxy A30s	thegioididong	Super AMOLED, 6.4", HD+	Android 9.0 (Pie)	Chính 25 MP & Phụ 8 MP, 5 MP	16 MP	Exynos 7904 8 nhân	4 GB	64 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/xiaomi-redmi-8-64gb	Điện thoại Xiaomi Redmi 8 (4GB/64GB)	thegioididong	IPS LCD, 6.22", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 2 MP	8 MP	Qualcomm Snapdragon 439 8 nhân 64-bit	4 GB	64 GB	MicroSD, hỗ trợ tối đa 512 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/oppo-a5-2020	Điện thoại OPPO A5 (2020) 64GB	thegioididong	TFT, 6.5", HD+	Android 9.0 (Pie)	Chính 12 MP & Phụ 8 MP, 2 MP, 2 MP	8 MP	Snapdragon 665 8 nhân	3 GB	64 GB	MicroSD, hỗ trợ tối đa 256 GB	2 Nano SIM, Hỗ trợ 4G	5000 mAh
https://thegioididong.com/dtdd/samsung-galaxy-s10-plus-512gb	Điện thoại Samsung Galaxy S10+ (512GB)	thegioididong	Dynamic AMOLED, 6.4", Quad HD+ (2K+)	Android 9.0 (Pie)	Chính 12 MP & Phụ 12 MP, 16 MP	Chính 10 MP & Phụ 8 MP	Exynos 9820 8 nhân	8 GB	512 GB	MicroSD, hỗ trợ tối đa 512 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4100 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-note-9	Điện thoại Samsung Galaxy Note 9	thegioididong	Super AMOLED, 6.4", Quad HD+ (2K+)	Android 8.1 (Oreo)	Chính 12 MP & Phụ 12 MP	8 MP	Exynos 9810 8 nhân	6 GB	128 GB	MicroSD, hỗ trợ tối đa 512 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4000 mAh, có sạc nhanh
https://thegioididong.com/dtdd/samsung-galaxy-s10-plus	Điện thoại Samsung Galaxy S10+	thegioididong	Dynamic AMOLED, 6.4", Quad HD+ (2K+)	Android 9.0 (Pie)	Chính 12 MP & Phụ 12 MP, 16 MP	Chính 10 MP & Phụ 8 MP	Exynos 9820 8 nhân 64-bit	8 GB	128 GB	MicroSD, hỗ trợ tối đa 512 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4100 mAh, có sạc nhanh
https://thegioididong.com/dtdd/huawei-p30-pro	Điện thoại Huawei P30 Pro	thegioididong	OLED, 6.47", Full HD+	Android 9.0 (Pie)	Chính 40 MP & Phụ 20 MP, 8 MP, TOF 3D	32 MP	Kirin 980 8 nhân	8 GB	256 GB	NM card, hỗ trợ tối đa 256 GB	2 SIM Nano (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G	4200 mAh, có sạc nhanh
