url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html?src=category-page-1789.1795&2hi=0	Điện Thoại iPhone 11 128GB  - Hàng Chính Hãng	Apple	Công nghệ màn hình: IPS LCD Màn hình rộng: 6.1 inches 	Hệ điều hành: iOS 13 	Camera trước: 12 MP, f/2.2 	Camera sau: 12 MP + 12 MP 	Chipset (CPU): Apple A13 Bionic 6 nhân 	RAM: 4 GB 	Bộ nhớ trong: 128GB 		SIM: 1 Nano SIM , 1 esim 	Dung lượng pin: 3110 mAh 
https://tiki.vn/dien-thoai-oppo-f7-64gb-4gb-hang-chinh-hang-p1733317.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO F7 (64GB/4GB) - Hàng Chính Hãng	OPPO	Màn hình: 6.23 inch 		Camera Trước/Sau: 16MP/25MP 		CPU: MediaTek P60 	RAM: 4GB 	Bộ Nhớ: 64GB 		SIM: 2 Nano SIM 	
https://tiki.vn/dien-thoai-samsung-galaxy-m10-16gb-2gb-hang-chinh-hang-p10581161.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy M10 (16GB/2GB) - Hàng Chính Hãng	Samsung	Màn hình: LCD 6.2" HD+, Infinity V Display 		Camera Trước: 5 MP 	Camera Sau: 13 MP và 5 MP (2 camera) 	CPU: Samsung Exynos 7870, 8 nhân Cortex A53 @1.6 GHz 	RAM: 2GB 	Bộ Nhớ: 16GB 			Tính năng: Mở khóa bằng vân tay, Đèn pin, Chặn cuộc gọi, Chặn tin nhắn 
https://tiki.vn/dien-thoai-oppo-f11-pro-6gb-64gb-hang-chinh-hang-p11589307.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO F11 Pro (6GB/64GB) - Hàng Chính Hãng	OPPO	Màn hình: LTPS LCD, 6.53", Full HD+ (1080 x 2340 Pixels) 		Camera Trước/Sau: 16MP/48MP + 5MP (2 camera) 		CPU: MediaTek Helio P70 8 nhân 	RAM: 6GB 	Bộ Nhớ: 64GB 		SIM tương thích: 2 Nano SIM 	
https://tiki.vn/dien-thoai-vsmart-live-64gb-6gb-hang-chinh-hang-p27927726.html?src=category-page-1789.1795&2hi=1	Điện thoại Vsmart Live (64GB/6GB) - Hàng chính hãng 	Vsmart	Màn hình: AMOLED, 6.2", Full HD+ Tính năng: Mở khoá vân tay dưới màn hình 		Camera trước: 20 MP 	Camera sau: Chính 48 MP & Phụ 8 MP, 5 MP 		RAM: 6GB 	Bộ nhớ ROM: 64GB 		Sim tương thích: 2 Nano SIM, Hỗ trợ 4G 	
https://tiki.vn/dien-thoai-samsung-galaxy-m30s-64gb-4gb-hang-chinh-hang-p33136984.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy M30s (64GB/4GB) - Hàng Chính Hãng	Samsung	Màn hình: Super AMOLED, 6.4", Full HD+ (1080 x 2280 Pixels) 		Camera Trước: 16 MP 	Camera Sau : 48 MP, 8 MP và 5 MP (3 camera) 	CPU: Exynos 9611 8 nhân 	RAM: 4GB 	Bộ Nhớ: 64GB 			Dung lượng pin 6000 mAh Tính năng: Mở khóa bằng vân tay, Dolby Audio, Đèn pin, Sạc pin nhanh, Chặn cuộc gọi, Chặn tin nhắn 
https://tiki.vn/dien-thoai-samsung-galaxy-a50-64gb-4gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p12206668.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy A50 (64GB/4GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung	Thiết kế: Nguyên khối, màn hình vô cực Màn hình: 6.4” FHD+ Super AMOLED (1080x2340) Tính năng: Cảm biến vân tay dưới màn hình, App Pair, Nhận Diện Khuôn Mặt, Âm thanh vòm cao cấp Dolby Atmos, Trợ lý ảo Bixby 		Camera Trước: 25MP (F2.0) 	Camera Sau : 5MP (F2.2) + 25MP (F1.7) + 8MP (F2.2) ultra wide 	CPU: Exynos 9610 Octa Core 2.3GHz 	Bộ Nhớ: 64GB / RAM: 4GB / Thẻ nhớ tối đa tới: 512GB 	Bộ Nhớ: 64GB / RAM: 4GB / Thẻ nhớ tối đa tới: 512GB 			
https://tiki.vn/dien-thoai-iphone-11-pro-max-64gb-hang-chinh-hang-p32028822.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 Pro Max 64GB - Hàng Chính Hãng 	Apple	Màn hình: OLED (Super Retina XDR), 6.5 inch, 2688 x 1242 pixels 		Camera Trước/Sau: 12MP / 12MP + 12MP + 12MP 		CPU: Apple A13 Bionic (7 nm+) 	RAM: 4GB 	Bộ Nhớ: 64 GB 		SIM: 1 Nano SIM + 1 esim 	Tính năng: Chống nước, chống bụi, Face ID, Sạc pin nhanh 
https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng	Apple	Công nghệ màn hình: IPS LCD Màn hình rộng: 6.1 inches 	Hệ điều hành: iOS 13 	Camera trước: 12 MP, f/2.2 	Camera sau: 12 MP + 12 MP 	Chipset (CPU): Apple A13 Bionic 6 nhân 	RAM: 4 GB 	Bộ nhớ trong: 64GB 		SIM: 1 Nano SIM , 1 esim 	Dung lượng pin: 3110 mAh 
https://tiki.vn/dien-thoai-meizu-c9-hang-chinh-hang-p10784946.html?src=category-page-1789.1795&2hi=1	Điện Thoại Meizu C9 - Hàng Chính Hãng	Meizu	Màn hình: 5.45 inch HD (1440 x 720 Pixels) 		Camera Trước: 8MP 	Camera Sau: 13MP 	CPU: 4 nhân 2.0GHz 	RAM: 2GB 	Bộ Nhớ: 16GB 		SIM tương thích: 2 Nano SIM 	
