url	title	provider	monitor	os	front_cam	back_cam	cpu	ram	rom	SD	SIM	battery
https://tiki.vn/dien-thoai-iphone-11-128gb-hang-chinh-hang-p32033730.html?src=category-page-1789.1795&2hi=0	Điện Thoại iPhone 11 128GB  - Hàng Chính Hãng	Apple										
https://tiki.vn/dien-thoai-oppo-f7-64gb-4gb-hang-chinh-hang-p1733317.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO F7 (64GB/4GB) - Hàng Chính Hãng	OPPO										
https://tiki.vn/dien-thoai-samsung-galaxy-m10-16gb-2gb-hang-chinh-hang-p10581161.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy M10 (16GB/2GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-oppo-f11-pro-6gb-64gb-hang-chinh-hang-p11589307.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO F11 Pro (6GB/64GB) - Hàng Chính Hãng	OPPO										
https://tiki.vn/dien-thoai-vsmart-live-64gb-6gb-hang-chinh-hang-p27927726.html?src=category-page-1789.1795&2hi=1	Điện thoại Vsmart Live (64GB/6GB) - Hàng chính hãng 	Vsmart										
https://tiki.vn/dien-thoai-samsung-galaxy-m30s-64gb-4gb-hang-chinh-hang-p33136984.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy M30s (64GB/4GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-samsung-galaxy-a50-64gb-4gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p12206668.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy A50 (64GB/4GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-iphone-11-pro-max-64gb-hang-chinh-hang-p32028822.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 Pro Max 64GB - Hàng Chính Hãng 	Apple										
https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng	Apple										
https://tiki.vn/dien-thoai-meizu-c9-hang-chinh-hang-p10784946.html?src=category-page-1789.1795&2hi=1	Điện Thoại Meizu C9 - Hàng Chính Hãng	Meizu										
https://tiki.vn/dien-thoai-nokia-6-1-plus-hang-chinh-hang-p3873909.html?src=category-page-1789.1795&2hi=0	Điện thoại Nokia 6.1 Plus - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-iphone-11-pro-max-256gb-hang-chinh-hang-p32033383.html?src=category-page-1789.1795&2hi=1	Điện Thoại iPhone 11 Pro Max 256GB - Hàng Chính Hãng 	Apple										
https://tiki.vn/dien-thoai-xiaomi-redmi-7a-2gb-16gb-hang-chinh-hang-p23590831.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi 7A (2GB/16GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-samsung-galaxy-a50s-64gb-4gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p32243658.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy A50s (64GB/4GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-xiaomi-redmi-7-2gb-16gb-hang-chinh-hang-p12486509.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi 7 (2GB/16GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-nokia-3-1-plus-32gb-3gb-hang-chinh-hang-p6090183.html?src=category-page-1789.1795&2hi=1	Điện Thoại Nokia 3.1 Plus (32GB/3GB) - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-plus-256gb-12gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p29454689.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 Plus (256GB/12GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-samsung-galaxy-a10-32gb-2gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p13097571.html?src=category-page-1789.1795&2hi=0	Điện Thoại Samsung Galaxy A10 (32GB/2GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-vivo-v9-hang-chinh-hang-p1735843.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vivo V9 - Hàng Chính Hãng	Vivo										
https://tiki.vn/dien-thoai-oppo-a5s-hang-chinh-hang-p15674844.html?src=category-page-1789.1795&2hi=1	Điện Thoại OPPO A5s - Hàng Chính Hãng	OPPO										
https://tiki.vn/dien-thoai-xiaomi-mi-8-lite-4gb-64gb-hang-chinh-hang-p4818337.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Mi 8 Lite (4GB / 64GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-wiko-view-2-plus-hang-chinh-hang-p6481195.html?src=category-page-1789.1795&2hi=1	Điện Thoại Wiko View 2 Plus - Hàng chính hãng	WIKO										
https://tiki.vn/dien-thoai-nokia-2-2-16gb-2gb-hang-chinh-hang-p20913598.html?src=category-page-1789.1795&2hi=1	Điện Thoại Nokia 2.2 (16GB/2GB) - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-xiaomi-redmi-note-7-4gb-64gb-hang-chinh-hang-p12480743.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi Note 7 (4GB/64GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-samsung-galaxy-a50-64gb-4gb-hang-chinh-hang-p11508168.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy A50 (64GB/4GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-nokia-3-1-16gb-2gb-hang-chinh-hang-p3021869.html?src=category-page-1789.1795&2hi=1	Điện Thoại Nokia 3.1 (16GB/2GB) - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-xiaomi-redmi-note-7-3gb-32gb-hang-chinh-hang-p10596796.html?src=category-page-1789.1795&2hi=1	Điện Thoại Xiaomi Redmi Note 7 (3GB/32GB) - Hàng Chính Hãng	Xiaomi										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-plus-256gb-12gb-hang-chinh-hang-p22358908.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 Plus (256GB/12GB) - Hàng Chính Hãng	Samsung										
https://tiki.vn/dien-thoai-nokia-5-1-plus-hang-chinh-hang-p4536405.html?src=category-page-1789.1795&2hi=0	Điện Thoại Nokia 5.1 Plus - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-samsung-galaxy-note-10-256gb-8gb-hang-chinh-hang-da-kich-hoat-bao-hanh-dien-tu-p29418235.html?src=category-page-1789.1795&2hi=1	Điện Thoại Samsung Galaxy Note 10 (256GB/8GB) - Hàng Chính Hãng - Đã Kích Hoạt Bảo Hành Điện Tử	Samsung										
https://tiki.vn/dien-thoai-nokia-7-2-hang-chinh-hang-p32648392.html?src=category-page-1789.1795&2hi=1	Điện Thoại Nokia 7.2  - Hàng Chính Hãng	Nokia										
https://tiki.vn/dien-thoai-vsmart-live-4gb-64gb-hang-chinh-hang-p26021690.html?src=category-page-1789.1795&2hi=1	Điện Thoại Vsmart Live (4GB/64GB) - Hàng Chính Hãng	Vsmart										
