label	title	h2	content
entertainment	McMafia and The Real Full Monty triumph at International Emmy awards		"The BBC's criminal underworld series McMafia has won best drama series at the International Emmys, which reward TV programmes made outside the US.Broadcast on BBC One last year, McMafia starred James Norton of Grantchester, Happy Valley and War and Peace fame.He played the son of a former Russian ""Godfather"" trying to follow a straighter path.ITV's The Real Full Monty: Ladies Night took the award for best non-scripted entertainment programme.The series saw female celebrities braving a live audience to put on a one-off striptease show - as in the movie The Full Monty - to raise awareness of breast cancer.Those who took part included Coleen Nolan, journalist Victoria Derbyshire, Emmerdale's Sally Dexter and singer Michelle Heaton.Other Emmy winners included Australia's Safe Harbour, about friends on an ill-fated trip to Indonesia, which won best movie or miniseries.Netflix's Brazilian Biblical spoof Especial de Natal Porta dos Fundos (The Last Hangover) won best comedy.Turkish star Haluk Bilginer won best actor for Şahsiyet, and best actress was Hungary's Marina Gera for Orok Tel.Honorary awards were presented to Game of Thrones screenwriters David Benioff and DB Weiss - who were given the Founders Award - and CNN's international news presenter Christiane Amanpour, who also hosts PBS' nightly interview series Amanpour.Crime drama Falco triumphed in the the non-English language US primetime programme. The 15-episode series revolved around the trials of an honest policeman in 1994 Mexico.This year's 44 nominations in 11 categories came from 21 countries.McMafia was based on Misha Glenny's non-fiction book McMafia: Seriously Organised Crime. Co-produced by the BBC, Cuba Pictures and AMC, it received positive reviews from critics and a second series has been commissioned.Winners in full:Follow us on Facebook, or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Netflix takes over its first cinema by leasing New York's historic Paris	Netflix vs cinemas	"Netflix has announced it has taken over the historic Paris cinema in New York.It's the first time the streaming giant - which has been accused of threatening the cinema experience - has taken a long-term lease to screen its films.Hollywood website Deadline said the deal was a 10-year lease agreement.Previously, Netflix has rented various cinemas for limited periods to ensure its films are eligible for awards. Its Oscar contender Marriage Story is now on at the Paris, which dates from 1948.""Now, the iconic theatre will be kept open and become a home for special Netflix events, screenings, and theatrical releases,"" the company said on Twitter.It is 71 years since screen legend Marlene Dietrich cut the ribbon to open the Paris, which became one of America's most notable art house cinemas. It is New York's last single screen cinema and had closed in late August.There has been some animosity towards streaming services in recent years from those who champion traditional cinema.Netflix film Okja, starring Tilda Swinton, was booed by some journalists in 2017 when it played at the Cannes Film Festival.Speaking to the BBC earlier this year, Swinton said: ""I hope that Netflix are going to build some nice big cinemas in every single city around the world. That's what I want them to do... and then they'll prove that they're really dedicated to big screen entertainment.""Earlier this year, Steven Spielberg voiced his concerns about the future of the ""motion picture theatrical experience"" in the face of competition from streaming services.In April, Dame Helen Mirren gave Netflix even shorter shrift and said the rise of watching films at home was ""devastating"" for people who make films for the big screen.Film fans on Twitter welcomed Netflix's decision to reopen the Paris.Follow us on Facebook, or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	The Boy in the Dress: Will Gompertz reviews the RSC's new musical ★★★★☆		"There are certain tried-and-tested antidotes to the winter blues. Like looking up puppies on the internet. Or flicking through brochures of sun-drenched Caribbean holidays. And, when desperate, the fall-back option of browsing LinkedIn for profiles of old school friends with dreadful jobs.These are all free options. If you're up for spending a bit of money (£16-£67.50) to lift your spirits, then you might consider buying a ticket to see the musical The Boy in the Dress at the Royal Shakespeare Theatre in Stratford-upon-Avon.It is a show that embraces the concept of feel-good entertainment like a banker receiving a bonus, which is to say, shamelessly. Anyone after intellectual nourishment will leave feeling distinctly peckish, but those seeking a warm bath of comfort and joy will wallow in this page-to-stage musical reimagining of David Walliams' best-selling children's book The Boy in the Dress.There is a decidedly showbizzy vibe to the production, from Aletta Collins' exuberant choreography to the deluxe stage design by Robert Jones. Hardly surprising, given the music and lyrics are by Robbie Williams and Guy Chambers, the songwriting duo behind late 90s pop hits Angels, Let Me Entertain You and Millennium.Williams said he and Chambers were given just two weeks to write the 17 catchy numbers that are the show's heart and soul, compared to the three years they took to write his latest album. All I can say is the album must be an absolute banger, because the tunes they knocked out in a fortnight for The Boy in the Dress are terrific - particularly if you're a fan of their early work, the hooks from which appear throughout.The story is a familiar tale of the misfit kid. Dennis is a 12 year-old football-loving schoolboy with inner feelings he doesn't understand. An existential angst not helped by his mother walking out on his father, and the locals bursting into a song about being Ordinary (""We said we're Labour, but we're voting Tory.""), because, as they say, ""What's the point of being different?""Dennis goes to his bedroom to sing If I Don't Cry and asks his big brother John for a hug, which goes down like a crate of non-alcoholic beer on a stag night. John turns away in disgust and explains that mothers do hugs, brothers do wedgies.And so, the light-hearted tone is set for two hours of gentle jokes and easy listening. John has a weakness for Magnum ice creams, Dennis likes magazines with pictures of ladies in dresses, while their dad (Rufus Hound) prefers magazines with pictures of ladies without dresses.As Dennis moves ever more confidently towards his desire to try a frock on for size, his role as star striker for the school's football team is put in jeopardy by a heavy cold (this is about as dramatic as the story gets). But this is theatre, so the game must go on with some posh boys providing the oppo (cue, topical joke). The match is played out before our eyes in a superbly executed scene seamlessly mixing puppetry, choreography and the imaginative direction of Gregory Doran.An effective staging device of having the football fixed to the end of a pole manoeuvred by a cast member is used throughout. Except for one moment when a loose football is placed for a crucial penalty, which, for the next sequence to work, has to be scored. All the goalie need do is dive out of the way so the ball can roll in. What could possibly go wrong?Well, on the night I went, the ball ricocheted off the keeper's legs and ended up in row G of the auditorium and not the back of the net. This led to an incongruous scene with the attacking team celebrating wildly having missed, while the ball is lobbed back into play from the stalls. Stick to the stick would be my note. It works.As does this show, even though there are times where it is a little rushed, and others that are a tad too pantomime hammy. At least for me. I doubt any of the younger members of the audience would concur, and it is at them the production is aimed.Those to whom I spoke afterwards loved every second: a chorus of approval that was palpable throughout, with rousing applause at the end of several of the big numbers including a glitter ball delight called Disco Symphony.The Royal Shakespeare Company (RSC) pulled off a remarkable feat with Tim Minchin's musical reinvention of Roald Dahl's Matilda a decade ago. It has been a huge commercial success for the company, enabling it to invest in education and outreach projects. The RSC is hoping The Boy in the Dress will follow suit and transfer for a long and lucrative West End run.Maybe it will, but the competition is a lot stiffer than when Matilda made the transition. The blockbuster juggernaut Hamilton wasn't about then, nor were Everybody's Talking About Jamie and Dear Evan Hansen - two musicals covering a similar ground of odd-one-out schoolboys.Those three have a very contemporary flavour, while The Boy in the Dress already feels more dated (the book was published in 2008). The issues it tackles are timeless and universal, but the central dramatic device of a boy wearing a dress doesn't seem particularly shocking in 2019. And supposed flashes of epiphany such as the radical idea of starting a girls' football team either need to be cut altogether or rewritten to reflect that women's football is now a major sport.But then we know The Boy in the Dress isn't frightened to be who he is and go toe-to-toe with the big guys. I hope it succeeds. There's plenty of room in this world for another joyful, uplifting musical - especially one that so unapologetically wears its heart on its sequined sleeve.Recent reviews by Will GompertzFollow Will Gompertz on Twitter"
entertainment	Entertainment quiz of 2018		Picture credits - Getty, Marvel Studios, Disney/Pixar, ITV2, BBC, World Productions, Sophie MutevelianFollow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.
entertainment	Music streaming market 'needs more choice'	Music industry revenues 2018How we consumed music in 2018	"Spotify, Apple and Amazon Music have revived the fortunes of the music industry, but fans aren't getting enough choice, a new report claims.It says streaming services are too similar, offering the same collection of songs with little price variation.Appealing to older music fans and offering ""super-premium"" features could double the value of the market, from £829m this year to £1.6bn in 2023.The findings came in a report for the Entertainment Retailers Association.""There's a major prize at stake,"" said Pedro Sanches, of consultancy firm OC&C, who conducted the study.The current ""all-you-can-eat"" streaming model had ""enjoyed enormous success, in part because of its simplicity,"" he said, ""but further innovation will drive more growth"".The report identified several new avenues, including premium subscriptions that offer access to exclusive content and merchandise; and expanding popular family and student plans to other demographics.Subscription streaming services have become increasingly important to the music industry, at a time when CD sales and downloads are in sharp decline.A total of 91 billion songs were played on Spotify, Apple Music and their competitors last year - the equivalent of 1,300 songs per person in the UK - and streaming now accounts for nearly two thirds (63.6%) of all music consumption in the UK.The ERA's research was commissioned amid concerns that the surge in subscriptions could stagnate.""Streaming has been the biggest news in the industry for the last 10 years,"" the organisation's CEO, Kim Bayley, told the BBC.""The younger generation are very firmly in the streaming environment, and saturation point is approaching for under-25s, so we wanted to see where future growth will come from"".The report found that, left to its own devices, the UK streaming market would continue to expand by 5-7% every year, reaching £1.1bn in 2023. But finding ways to tempt non-subscribers could result in a £500m boost, generating revenues of £1.6bn.""It's fair to say even we were surprised just how positive the results were,"" Bayley said. ""There's lots of potential.""Lessons could also be learned from other entertainment providers, she added.""Think about the way Sky [television] bundles things together - with different tiers for sport and movies and entertainment. That's the sort of thing you could do with music - create more channels, break it up a bit, and pay for the bits you want.""The need for a more diverse music streaming experience was recently highlighted by Warner Music CEO Mark Cooper.""The streaming offerings in music have not been as consumer-friendly as they could have been,"" he said in New York last week.""Right now, there's a 50 million-track universe and it's either free or $10 [per month], plus or minus.""My view is that if [streaming services were] organised to allow people to choose by genre, or by number of tracks per day, hi-res sound, global [or] local, whatever it is, the music industry and the tech companies would have been ahead [of where they are now] by way of revenue optimisation.""The ERA's research was released on the same day it was revealed that the UK Music industry had contributed £5.2bn to the UK economy in 2018.The success of stars like Ed Sheeran and Dua Lipa helped exports soar to £2.7bn; while the live music sector made £1.1bn - up 10% from £991 million in 2017, despite Glastonbury taking a fallow year.However, trade body UK Music warned that the new talent was being threatened by cuts to musical education and the continued closure of small music venues.It added that, despite the huge financial rewards for A-list stars like Calvin Harris and Adele, the average musician earned £23,059 - well below the national average of £29,832.Brexit also poses a danger to the industry, and touring musicians in particular, warned UK Music CEO Michael Dugher.""We urgently need to ensure that the impact of Brexit doesn't put in jeopardy the free movement of talent, just at a time when we should be looking outwards and backing the best of British talent right across the world.""Follow us on Facebook, or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Missed this week's entertainment news?	1. A brilliant night for Brits at the Golden Globes2. Margot Robbie is going to play Barbie3. The Favourite leads Bafta nominations4. Lady Gaga broke her silence on R Kelly5. Octavian is BBC Sound of 20196. Susan Boyle is back	"There's been a lot going on in the worlds of film and music this week, so if you have missed any of the big stories then catch up right here.British stars Olivia Colman, Richard Madden, Christian Bale and Ben Whishaw were among the winners at this year's Golden Globe Awards.With the Oscars seven weeks away, Colman was honoured for her performance in The Favourite, while Bale won for playing ex-US Vice-President Dick Cheney in Vice.Richard Madden picked up the prize for best TV drama actor for his role in BBC One's Bodyguard and Whishaw won for A Very English Scandal.Read the full story.""I'm so honoured to take on this role that I believe will have a tremendously positive impact on children,"" the Australian actress said about playing the iconic doll in a live-action film.The movie, which does not yet have a title, a director or a release date, marks the first collaboration between Warner Bros and Barbie creator Mattel.Read the full story.It's not called The Favourite for nothing!After its success at the Golden Globes, the period comedy-drama leads the race for this year's Bafta Awards, receiving a whopping 12 nominations.Colman was nominated for best actress for playing Queen Anne, while her co-stars Rachel Weisz and Emma Stone - who vie for the monarch's affections in the film - are both in the running for best supporting actress.Read the full story.The pop star apologised for working with R&B star R Kelly and removed their duet, Do What U Want, from streaming services.It comes after a TV documentary detailed allegations of sexual abuse against women and underage girls - which he denies.Gaga posted a long statement on social media.""I stand behind these women 1000%, believe them, know they are suffering and in pain, and feel strongly that their voices should be heard and taken seriously,"" she wrote.Read the full story.""That's lit,"" said the 23-year-old rapper on finding out he'd come top of the list to find the most exciting acts for the coming 12 months.Octavian is the first rapper to win the Sound Of... since 50 Cent topped the inaugural list in 2003.He was chosen by a panel of over 130 critics, DJs and industry experts, including former nominees Ellie Goulding and Stormzy.""From the very first moment I heard his music I was hooked,"" said Benji B, who was the first DJ to play Octavian on Radio 1 and 1Xtra.Read the full story.Susan Boyle returned to the spotlight, a decade after being discovered on Britain's Got Talent.Her appearance on America's Got Talent: The Champions - which brings back famous contestants from both sides of the Atlantic - got everyone talking.She performed her cover of Wild Horses by the Rolling Stones and received the show's highest accolade when judge Mel B pressed her golden buzzer to put the singer straight through to the finals.The Spice Girls star described Boyle's voice as ""angelic"".Read the full story.Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Spinal Tap settle soundtrack dispute with Universal Music		"The creators of rock ""mockumentary"" This Is Spinal Tap say they have resolved a legal dispute with Universal Music over the film's soundtrack.Harry Shearer, Christopher Guest, Michael McKean and Rob Reiner, who starred in the 1984 film, said they had reached a settlement with Universal's parent company Vivendi.The actors claimed the entertainment group had denied them payments.Another part of the dispute over the film rights and merchandise is ongoing.Directed by Reiner, This Is Spinal Tap followed the misfortunes of a fictional British rock band as they promoted their new record.Under the new agreement, the band's music will continue to be distributed through Universal Music Group and the rights will eventually be given to the creators.A mediator had been working to resolve the dispute since last November. The final settlement amount was not disclosed.Legal action against Vivendi's film arm Studiocanal and its executive Ron Halpern over the rights in This is Spinal Tap and related intellectual property has not been resolved.Shearer, who later appeared in The Simpsons, launched the case in 2016, claiming ""fraudulent accounting"" and ""anti-competitive behaviour"".His legal action claimed that, ""according to Vivendi"", the four creators' share of merchandising income between 1984 and 2006 was just $81 (£63). He initially sought $125m (£97m) in damages, but the claim was increased to $400m (£310m) after Shearer was joined by the others.The comedy film, which contained such songs as the fittingly-titled Gimme Some Money, Stonehenge and Big Bottom, has been credited by the likes of Ricky Gervais as a major influence.Follow us on Facebook, or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Remembering the entertainment and arts figures we lost in 2018	JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember	"As the year draws to a close, it is time to remember the figures from the worlds of arts and entertainment figures who died in 2018. Here is a look back at some of those we said farewell to.The year began with the deaths of three musical giants - jazz trumpeter Hugh Masekela, Cranberries singer Dolores O'Riordan and The Fall's Mark E Smith.Other notable artists from the world of music to leave us included Motorhead guitarist Eddie Clarke, French singer France Gall and Kinks bassist Jim Rodford.We also said goodbye to fantasy author Ursula K Le Guin, Maid Marian actor Howard Lew Lewis, author Peter Mayle, Teletubbies actor Simon Shelton, Police Academy director Hugh Wilson, cult TV star Peter Wyngarde and Home and Away actress Jessica Falkholt.Two faces from the small screen - House of Cards actor Reg E Cathey and Frasier's John Mahoney - left us in February, as did Lewis Gilbert, the director of Alfie, Educating Rita and three James Bond films.Others to take their leave this month included The Vicar of Dibley's Emma Chambers, The Crystals' Barbara Ann Alston, The Real Thing singer Eddy Amoo, film composer Johann Johannsson, Pixar animator Bud Luckey, Hollywood producer Jill Messick and author Penny Vincenzi.Three much-loved television stars bowed out in March: long-time Bullseye host Jim Bowen, Eurovision Song Contest host Katie Boyle and tattyfilarious comedian Ken Dodd.The same month also saw the deaths of French actress Stephane Audran, Heartbeat actor Bill Maynard, rapper Craig Mack and South Korean actor Jo Min-ki.The deaths of Swedish DJ Avicii (real name Tim Bergling), Austin Powers actor Verne Troyer and TV presenter Dale Winton cast a sombre pall over April.We also said goodbye to two directors of international repute - double Oscar-winner Milos Forman and Italian film-maker Vittorio Taviani.April also saw abstract artist Gillian Ayres, W1A actor Alex Beckett, sitcom writer Ronald Chesney, Marine-turned-actor R Lee Ermey, Twin Peaks actress Pamela Gidley and Overtones member Timmy Matley depart.Superman actress Margot Kidder left us the same month we said goodbye to two American literary greats. Philip Roth was the author of Portnoy's Complaint, American Pastoral and many other novels, while Tom Wolfe gave us The Right Stuff, The Bonfire of the Vanities and The Electric Kool-Aid Acid Test.British film editor Anne V Coates, Frightened Rabbit singer Scott Hutchison, Minder star Glynn Edwards, Irish playwright Tom Murphy and US actor Clint Walker also passed away, as did Jerry Maren, one of the original Munchkin actors from The Wizard of Oz.Celebrity chef Anthony Bourdain, EastEnders actor Leslie Grantham and fashion designer Kate Spade were among the famous people who left us in June.Others included Elvis Presley's drummer DJ Fontana, ""Bond girl"" Eunice Gayson, former Love Island contestant Sophie Gradon, Twin Town actress Helen Griffin, Jackson family patriarch Joe Jackson, former Fleetwood Mac guitarist Danny Kirwan, artist Malcolm Morley and Irish actor Derrick O'Connor.Fans also paid tribute to US rapper XXXTentacion - real name Jahseh Onfroy - after he was shot and killed in Florida at the age of 20.Hollywood said goodbye to 1950s idol Tab Hunter, while the theatre world bade farewell to Cats choreographer Gillian Lynne and playwright Hugh Whitemore.Others to leave us included Colditz actor Bernard Hepton, Crossroads and The Archers actress Carolyn Jones, Stig of the Dump author Clive King, composer Oliver Knussen, French film-maker Claude Lanzmann, cinematographer Robby Muller, Alexander McQueen muse Annabelle Neilson and musician Richard Swift.There was also radio silence for Adrian Cronauer, the US DJ who inspired Robin Williams' character in Good Morning, Vietnam.Laughter turned to tears in August with the death of Barry Chuckle, one half of the comedy duo the Chuckle Brothers. The same month also saw the deaths of novelist VS Naipaul and ""queen of soul"" Aretha Franklin.In the month we lost a queen, we also said farewell to a pair of Kings - Lynyrd Skynyrd guitarist Ed King and jazz singer Morgana King.Others to depart included US playwright Neil Simon, film actress Barbara Harris, songwriter Tony Hiller, Huntress frontwoman Jill Janus, LazyTown actor Stefan Karl Stefansson and Broadway star Carole Shelley.Another much-loved duo lost a member in September when Chas Hodges - one half of Chas and Dave - died at 74. The same month also saw the deaths of BBC radio presenter Rachael Bland and '70s movie heartthrob Burt Reynolds.We also said goodbye to Heartbeat actor Peter Benson, Carry On actress Liz Fraser, Star Wars producer Gary Kurtz, Morecambe and Wise choreographer Ernest Maxin, US rapper Mac Miller, It'll Be Alright on the Night host Denis Norden, Blake's 7 star Jacqueline Pearce and Dudley Sutton, who played Tinker in Lovejoy.More musical luminaries left us in October - suave French singing star Charles Aznavour and Jefferson Airplane co-founder Marty Balin - as did much-loved Rainbow presenter Geoffrey Hayes.Others we lost included Beatles sound engineer Geoff Emerick, Steptoe and Son writer Ray Galton, All That Remains guitarist Oli Herbert, Willy Wonka and the Chocolate Factory actress Diana Sowle, The Walking Dead's Scott Wilson and rapper Young Greatness.Newsreader Richard Baker signed off at the age of 93. November also saw the deaths of Italian film director Bernardo Bertolucci and comic book legend Stan Lee.We also said farewell to director Nicolas Roeg, Beverley Sisters twin Babs Beverley, Vicar of Dibley actor John Bluthal, Hong Kong film mogul Raymond Chow, screenwriter William Goldman, US magician and actor Ricky Jay, SpongeBob SquarePants creator Stephen Hillenburg, Love Story composer Francis Lai, boy band member Devin Lima, Electric Light Orchestra cellist Hugh McDowell and stuntwoman Kitty O'Neil.The end of the year brought the sad news that Buzzcocks lead singer Pete Shelley, Terry and June star June Whitfield and jazz star Nancy Wilson had left us.As 2018 drew to a close, time also caught up with TV art historian Sister Wendy Beckett, US actor Philip Bosco, actress and director Penny Marshall, British-born actor Donald Moffat, Israeli author Amos Oz, Dr Hook singer Ray Sawyer and Alien's Bafta-winning production designer Michael Seymour.Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Blackpink are the first K-pop band to join YouTube's 'billion views club'	Blackpink vs BTS	"South Korean girl group Blackpink have just reached a new milestone - after their single Ddu-Du Ddu-Du was played more than a billion times on YouTube.The popularity of the lavish music video means the quartet are the first K-pop group to join the site's ""billion views club"".They are only the second Korean act, after Gangnam Style star Psy, to reach the number.Boy band BTS aren't far behind - their DNA video is currently on 866 million.The video sees the band draped over a bejewelled tank and swinging from chandeliers.End of Youtube post by BLACKPINKBlackpink's record label, YG Entertainment, announced their achievement on Tuesday, and it was later confirmed to the BBC by YouTube.A video of the band rehearsing the song's dance routine has also earned 264 million views.This isn't the first time the quartet have broken a YouTube record. In April, the single Kill This Love was played 100 million times in two days - faster than any other music video in the site's history.It was later overtaken by BTS's Boy With Luv, which achieved the feat in just 24 hours.Although there is no rivalry between the two K-pop bands, fans are locked in a fierce debate over who is bigger.Blackpink were formed three years ago and comprise four members - Jisoo, Jennie, Rosé and Lisa. Their debut album Square One was released in 2016 and gave them their first number one single in their homeland, with the track Whistle.Earlier this year, they became the first K-pop girl band to perform a set at the Coachella music festival, and they have collaborated with Dua Lipa on the single Kiss And Make Up.Blackpink are also the most-subscribed music group on YouTube, amassing 31.2 million followers, who call themselves ""Blinks"".The band's name is meant to challenge female stereotypes. ""Pink is commonly used to portray prettiness, but BlackPink actually means to say 'Pretty isn't everything,'"" YG Entertainment explained when the band launched.""It also symbolises that they are a team that encompasses not only beauty, but also great talent"".Follow us on Facebook, or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk."
entertainment	Missed this week's entertainment news?		"It's been another packed week in the world of entertainment news - for example, we learned who will present I'm A Celebrity... with Dec, what the TV critics thought of Bake Off, and which star Prince Harry had on his bedroom wall as a teenager.If you missed these stories and other happenings this week, read on.Like most teenage boys, Prince Harry had a poster of a famous crush on his wall - in his case, it was Oscar-winning actress and former Bond girl Halle Berry.The US star jokingly trolled the Duke of Sussex after spotting herself in the background of a recently resurfaced photo.""OK Prince Harry, I see you!"" she wrote, after seeing the image of his bedroom at Eton College.The Great British Bake Off is back for series number nine - and series number two on Channel 4.An audience of 6.1 million tuned in on Tuesday to see the series kick off with biscuit - rather than cake - week.Critics were united in their delight at its return, with one telling BBC Radio 5 Live: ""Ah lovely telly, the world's a better place when Bake Off's on.""Strictly Come Dancing is almost back, and last year's winner Joe McFadden said that, despite claims it's not the strongest line-up, it still ""ticks every box"".The former Holby City star said there is somebody for everybody in the new crop of contestants.The BBC show begins on 8 September.University Challenge is to focus on posing ""gender neutral"" questions, according to the show's executive producer.Peter Gwyn made the remark following a viewer complaint that the questions were skewed towards men.""We try to ensure that when hearing a question, we don't have any sense of whether it was written by a man or a woman,"" he said.Holly Willoughby will co-host this year's I'm A Celebrity… Get Me Out Of Here! alongside Declan Donnelly.Willoughby will fill in for Dec's regular partner Ant McPartlin while he takes a break from TV presenting.""I couldn't be more excited to have been asked to stand alongside Dec for the next jungle adventure,"" said the This Morning regular. Dec said he was ""hugely grateful"", adding: ""I'm thrilled she said yes.""Stacey Solomon hit out at gossip magazines for making women feel as though ""they're not good enough"".The TV presenter was featured on this week's cover of Now magazine with the headline: ""Stacey 'boring', 'desperate', 'cheap' - why fans are sick of her.""The 28-year old Loose Women panellist shared the cover with her 1.4 million Twitter followers, writing: ""That's the meanest thing I've ever seen.""Coleen Nolan said she regretted her on-screen row with Kim Woodburn, describing it as ""ugly, upsetting and unpleasant"", adding that she wished she could turn back time and undo it.More than 7,000 people complained to Ofcom about Wednesday's Loose Women, which saw the singer clash with the former How Clean Is Your House? host.Some viewers accused Nolan and the ITV show's other panellists of bullying.Queer Eye star Karamo Brown urged fans to look after their mental health after revealing he tried to take his own life in 2006.Brown is the culture expert on the Netflix show, in which five gay men give a straight man a makeover, both physically and often emotionally.Brown, 37, said he had been ""in a very dark place"" in 2006 and felt like his life ""could not get any better"".But he told fans: ""I want you to know that things do get better.""Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk."
