label	title	h2	content
science	Plastic pollution: How Ibiza is tackling its problem with waste	So, what can be done to solve the problem?	"Ibiza generated half a tonne of waste per person this year, which is 14% higher than the rest of Europe.According to figures from the Ibiza Preservation Foundation, this is double the amount per person than Spain produces as a whole.Part of the problem is that Ibiza thrives on its tourism, and in 2018 more than four million people landed on its beaches - a quarter of these were from the UK.But, campaigners say, after all the cars, crowds and yachts disappear, a huge strain is left on resources, nature, and the beauty of Ibiza.Plastic ends up in the sea and on the beaches which is harmful to the marine environment and endangered species.DJ and producer Blond:ish is popular on the Ibiza clubbing scene, but she is also well known for being a sustainability campaigner in the music industry.When she is not behind the desks, she uses her time to educate DJs, clubs and clubbers about single-use plastics, in the hope that one day she will DJ at zero-plastic shows.She says the music industry is a big source of waste, which is a particular problem on a tiny island like Ibiza.""In the summer, we can play every day and the footprint can be huge. DJing is actually a really small part of it, really we are just travellers.""Blond:ish says DJs can often travel from island to island, country to country, playing sets and urges the industry to ""take small steps like offsetting our carbon"".Offsetting carbon means travellers pay extra to help compensate for the carbon emissions produced from their flight.The money is then invested in environmental projects - like planting trees or installing solar panels - which reduce the carbon dioxide in the air by the same amount.However, some activists criticise carbon offsetting as an excuse to continue polluting, arguing that it does little to change behaviour.""We are partying in paradise, and paradises have sensitive ecosystems which can't withstand the city lifestyle,"" says Blond:ish.Through her campaign group, Bye Bye Plastic, Blond:ish also encourages artists to go plastic-free on their riders, which is the food and drink they request for backstage and in the DJ booths when they play.She said: ""Bye Bye plastic upgraded our riders to be single-use plastic-free."" She says this is a ""tiny step"" but that if DJs, agents and clubbers all pitch in, it will eventually influence the clubs.But some clubs in Ibiza are already proactively tackling pollution.Iconic night club Pacha is the first club to sign up to the Ibiza Preservation's plastic-free star rating system, gaining the first star.The scheme hopes to phase out single-use plastics in Ibiza by 2023, and rewards nightclubs that commit to banning plastics with a star.Its chief executive, Nick McCabe, says the the venue gets through more than 400,000 plastic straws, and a similar number of plastic bottles on an annual basis.Founded in 1973, Nick, says: ""Pacha is as much Ibiza as the sand and sea."" He says he hopes it continues to evolve with the island.It has already managed to eliminate straws, plastic cutlery, laundry bags and plastic food containers, but Nick says finding a solution to plastic bottles is challenging from a ""safety perspective"".He said the star rating system is an ""interesting way to feel like there is some kind of reward for companies who get board for what we should be doing anyway"".Tourists are getting involved, too.Ed Pronc is Dutch but has been holidaymaking in Ibiza with his partner for years.He was shocked into creating a ""plastic-picker catamaran"" after he and his partner went for a ride on their boat, and ended up finding a sea turtle trapped in plastic.""We let it free,"" he said, ""but after that, we noticed there was a lot of plastic floating around.""Now, Ed and his partner go out with a team of volunteers every single day to collect rubbish.After only an hour of picking, Ed says he can typically find every type of plastic imaginable, from plastic bottles, to food sacks, wiring, ropes, razors and tooth brushes.He said they also find ""refrigerator doors occasionally"" too.""I know if we hit the right spots we can collect 10, 20, 30 bags of plastics every day,"" says Ed.He notes that 130,000 people live on the island here all year round, and they are saddened by the way it is ""abused"".Ed says anyone with an ""active conscience"" shouldn't be able to throw or even drink from a plastic bottle anymore.Follow the BBC's Victoria Derbyshire programme on Facebook and Twitter - and see more of our stories here."
science	Cut air pollution to fight climate change - UN	Focus on CO2Double troubleCommon air pollutantsOzone problemChallenges ahead	"Getting countries to cut down greenhouse gases that cause global warming is proving an uphill task.But convincing them to clean their air for public health has been easier - and that could help fight climate change as well, UN officials have told the BBC.They say an international effort to cut down air pollution is showing some promise with regards to warming gases.The global effort to tackle emissions will be debated on Monday at the UN Climate Action Summit in New York.The Climate and Clean Air Coalition was formed by six countries.The United Nations Environment Programme (Unep) hosts the secretariat of the coalition, which was formed in 2012 and today counts more than 100 governments as members.""We have seen that countries are forthcoming to join this initiative as it is about immediate public health,"" says Jian Liu, Unep's chief scientist.""And it has co-benefits: air quality and the climate.""So, can we really tackle both problems with a single effort?While some of the gases tick both boxes, others are air pollutants without a warming effect, and vice versa.When scientists talk about cutting down greenhouse gases that are blamed for warming the planet, they are mainly targeting carbon dioxide (CO2).That is because it amounts to nearly two-thirds of emissions and can stay in the atmosphere for thousands of years.Last year, it reached 411 parts per million (ppm) at Hawaii's Mauna Loa Atmospheric Baseline Observatory, the highest monthly average ever recorded.Some experts say 350ppm is the safe limit while others argue 400ppm should be the reasonable target.Burning of fossil fuels, wood and solid waste leads to CO2 emissions. Some industrial processes and land-use changes, including deforestation, also lead to emission of this major greenhouse gas.But because the world's economy still largely runs on fossil fuels, energy politics has severely hindered progress in CO2 emissions reduction to fight climate change.But scientists say there are other gases that pollute the air and also warm the planet.Black carbon and methane are air pollutants that are also responsible for 30-40% of global warming, according to atmospheric scientists with Unep.The sectors that produce the vast majority of greenhouse gases - energy, transport, industry, agriculture, waste management and land use - are also the main sources of these air pollutants.So curbing their emissions, experts say, will help people's health and also that of the planet.They are also known as Short-Lived Climate Pollutants (SCLP).""Acting swiftly to reduce SCLP emissions will benefit human health immediately and slow the rate of near-term warming - benefits that will mostly be felt in the regions where emissions are reduced,"" according to a recent report from the World Health Organization (WHO).SLCP emissions could reduce warming by as much as 0.6C by 2050, it adds, while avoiding 2.4 million premature deaths from ambient air pollution annually by 2030.The UN health agency estimates that air pollution inside and outside the home contributes to around seven million premature deaths worldwide.More than four million of these deaths are caused by outdoor air pollution.The most common outdoor air pollutants are fine airborne particles, which are broken down into categories known as PM1, PM2.5 and PM10, based on size.Respiratory infections, heart disease, lung cancer and even brain development impairment have been linked to PM2.5.These are fine particles, measuring one-thirtieth the diameter of a human hair, that can reach lungs and bloodstream if inhaled.While particulate matter counts as an air pollutant, one of its components - black carbon - is a short-lived climate pollutant.Its deposition on snowfields has also been blamed for absorbing sunlight and accelerating melting.There are currently no national or international regulatory obligations to monitor, measure or report releases of black carbon, WHO officials say.Another invisible combination of pollutants is ground level ozone that comes from traffic, landfill, agriculture and other sources.One of ozone's precursors is nitrogen oxide, which comes from fossil fuel combustion. This has been liked to bronchitis in asthmatic children, reducing their lung function.But it is also a greenhouse gas.For more on the UK's efforts to tackle CO2 emissions, download the BBC Briefing on energy. Part of a mini-series of downloadable guides to the big issues in the news, it has input from academics, researchers and journalists and is the BBC's response to demands for better explanation of the facts behind the headlines.""The theory that if you cut down air pollution, it will help in reducing emissions of some of the greenhouse gases that cause climate change is quite sound,"" said Lesley Ott, an atmospheric scientist with Nasa.""So, for instance, if you could make your power plants less polluting, you cut down emissions of greenhouse gases, as well as reduce air pollution.""But you will still have to tackle the issue of cutting down CO2 emissions because that is the main greenhouse gas we are emitting and that remains in the atmosphere for long time.""Experts say the Paris climate agreement does not require countries to report on their steps to reduce SLCPs.Under the agreement that aims to keep global warming well below two degrees compared to pre-industrial times, countries are required to submit reports on their actions to mitigate climate change.It is legally non-binding requirement.""Meeting the targets of the Paris agreement is likely impossible without cutting SLCP emissions,"" said Jian Liu.Although UN officials are glad that countries support cutting down air pollutants that could also lead to curbing greenhouse gas emissions, they admit lack of reporting and monitoring remains a major challenge.Follow Navin on Twitter."
science	Attenborough: World 'changing habits' on plastic		"The world is beginning to tackle the threat of plastic waste, according to the renowned broadcaster Sir David Attenborough.""I think we're all shifting our behaviour, I really do,"" Sir David said in an interview with the BBC.Describing plastic pollution as ""vile"" and ""horrid"", he said there was growing awareness of the damage it can do.""I think we are changing our habits, and the world is waking up to what we've done to the planet,"" he said.Sir David was speaking as he and the BBC's Natural History Unit (NHU) were announced as the winners of the prestigious Chatham House Prize for their Blue Planet II series of documentaries.Chatham House, a foreign affairs think-tank based in London, awards the prize to people or organisations making a significant contribution to improving international relations.Its director, Dr Robin Niblett, described plastic pollution as ""one of the gravest challenges facing the world's oceans"".End of Youtube post by BBCHe said Sir David and the BBC Studios Natural History Unit played ""an instrumental role in helping to put this issue at the forefront of the public agenda"".""Blue Planet II spurred a passionate global response and generated clear behavioural and policy change.""The series revealed how plastic items - estimated to total more than 150 million tonnes - are drifting in the world's oceans and causing the deaths of one million birds and 100,000 sea mammals each year.In one of the most moving scenes, albatrosses were seen feeding their chicks a diet of plastic which would doom them to die.The head of the NHU, Julian Hector, said he believed the programmes had ""struck a chord"" with the public because they showed ""the interaction of plastic and the natural world"".""We're emotionally engaging the audience, giving them a connection with life histories, the behaviours, the plans that these animals have got, and how plastic in that case is getting in their way, reducing their chicks' survival.""For Sir David, these sights are ""very powerful - they speak to parental instinct""; and they seem to have helped motivate people to take action.""It's the beginning, and people in all parts of society are aware of what's happening, and it's vile, it's horrid and it's something we are clearly seeing inflicted on the natural world and having a dreadful effect and there's something they can do about it.""So in a way it's a bit of a litmus test to see if the population care about it and people do.""Sir David said that techniques needed to be devised for handling plastic waste.""We still need to know how to dispose of the wretched material, surely if we can invent it, somebody somewhere is going to be able to deal with it, to deal with these mountains of this appalling material.""Also nominated for the Chatham House Prize were Abiy Ahmed, prime minister of Ethiopia, who recently won the Nobel Peace Prize; and Katrín Jakobsdóttir, prime minister of Iceland for her commitment to gender equality.Sir David's current series with the BBC NHU - Seven Worlds, One Planet - is broadcast on BBC One on Sunday nights.Follow David on Twitter."
science	Plastic pollution: Flip-flop tide engulfs 'paradise' island		"Close to a million plastic shoes, mainly flip flops are among the torrent of debris washed up on an ""unspoilt paradise"" in the Indian Ocean.Scientists estimated that the beaches of Australia's Cocos (Keeling) Islands are strewn with around 414 million pieces of plastic pollution.They believe some 93% of it lies buried under the sand, say the researchers.They are concerned that the scale of concealed plastic debris is being underestimated worldwide.Nearly half the plastic manufactured since the product was developed six decades ago has been made in the past 13 years, say scientists.Through failings in waste management, much of it has ended up in the oceans, with one estimate suggesting that there are now more pieces of plastic in the seas than there are stars in the Milky Way.This latest assessment will add to the feeling that the world hasn't yet fully appreciated the scale of the problem.The research team surveyed the Cocos (Keeling) Islands, a horseshoe chain of 26 small land masses 2,100km north-west of Australia.Around 600 people live in these remote places, which are sometimes described as ""Australia's last unspoilt paradise"".The researchers found that oceanic currents are depositing huge amounts of plastic on the beaches of these atolls.They calculated that the islands are littered with 238 tonnes of plastic, including 977,000 shoes and 373,000 toothbrushes. These were among the identifiable elements in an estimated 414 million pieces of debris.The scientists believe their overall finding is conservative, as they weren't able to access some beaches known to be hotspots of pollution.Of particular concern to the authors of the report is the amount of material they believe is buried up to 10cm below the surface. This accounted for around 93% of the estimated volume.The lead author Jennifer Lavers told BBC News that, based on what she had seen on the Cocos Islands and what she has found previously on another remote island called Henderson in the Pacific, the world has ""drastically underestimated"" the scale of this problem.The finding may also help explain a significant gap in our understanding of plastic pollution.""Over the years, over the decades, we know how much plastic we put out into the ocean. But when we've done some sampling to try and figure out how much is floating in the surface layers and things like that, there actually seems to be a bit of a mismatch between what we think we've put out there, and what we find,"" said Dr Lavers, from the Institute for Marine and Antarctic Studies at the University of Tasmania.""So there's this missing plastic where we don't actually know where it's gone. So for me, when I found out that so much of the debris on Cocos was buried, I had a little kind of a light bulb moment where I thought, perhaps this is one of the missing pieces of the puzzle.""Valiant attempts to clean up beaches by volunteers are literally, scratching the surface of the problem. Researchers are concerned that this wealth of buried plastic could threaten wildlife living or nesting in beach sediments, such as sea turtles and crustaceans.""It wasn't a huge surprise to me, it's simply that the surveys done up until now have looked at the surface and its obviously a lot of time and effort to dig deeper,"" said Dr Chris Tuckett, from the Marine Conservation Society, who wasn't involved with the study.""Plastic obviously breaks down into smaller pieces over time and smaller pieces will sink through the sand and settle in sub-surface layers. In hot regions, the combination of warm temperatures and high salinity is likely to make plastic items break up into pieces more quickly, although it won't disappear entirely.""Attempts to clear this concealed plastic would require major mechanical disturbance which might prove even more damaging to wildlife.The lead author hopes that her findings will bring home to people that prevention is far better than cure when it comes to plastic pollution.""My hope is that the Cocos provide an opportunity for people to kind of see themselves in the debris on the beach, and feel that sense of connection or ownership and realise that if they changed their behaviour, their consumption patterns, if they kind of fought for policy or legislation, if they went out and helped their neighbour, they could potentially have a beneficial flow on effects.""Dr Lavers says she has avoided plastic in her own life for the past 10 years.""In a decade, I've never used a plastic toothbrush, I don't use plastic bags of any shape, size, denomination or source. I don't do any of these things. And yet, it's no longer a conscious decision. It's just part of my day to day life. It's just who I am.""It's like quitting smoking. At first, it's hard, and you have to think about it. But then you don't think about it anymore. It's just part of your day-to-day actions. You just don't smoke anymore. I just don't use plastic anymore. I just don't.""The new study has been published in the journal Scientific Reports.Follow Matt on Twitter."
science	What does air pollution do to our bodies?	Asthma attackGreater challengesBody of evidence	"The countdown has begun to the launch of one of the world's boldest attempts to tackle air pollution.From next Monday, thousands of drivers face paying a new charge to enter central London.The aim is to deter the dirtiest vehicles in an effort to reduce diseases and premature deaths.The initiative comes as scientists say the impacts of air pollution are more serious than previously thought.The mayor of London, Sadiq Khan, told the BBC the threat of air pollution, which is mostly invisible to the naked eye, was ""a public health emergency"".He added: ""One of the things that has troubled me is that because we can't see the particulate matter, the nitrogen dioxide, the poison, you don't take it seriously.""But over the last few decades, research has revealed how gases like nitrogen dioxide and tiny particles, known as particulate matter or PM, can reach deep into the body with the danger of causing lasting damage.How polluting are idling cars and buses?Wood burners under fire in clean air planThe most obvious effects are on our breathing - anyone suffering from asthma, for example, is more likely to be at risk, because dirty air can cause chronic problems and also trigger an attack.""I had to stay up one night because my chest was really bad because [of] all the polluted air,"" 10-year-old Alfie told me. ""I couldn't go to sleep and my mum had to stay awake.""""All that polluted air can hurt your lungs, it can even damage you brain, it can damage nearly everything in your body,"" he said.A pupil at Haimo Primary School in Eltham, close to London's busy South Circular Road, Alfie is one of 300 children across the capital taking part in unique research.The project involves each child wearing an air-monitoring backpack, specially built by Dyson and fitted with instruments to measure nitrogen dioxide and the smallest particles, called PM2.5.One motivation for the work is that breathing in dirty air at an early age can have implications that last a lifetime.Research has shown that children growing up in heavily polluted streets have smaller lung capacity than those in cleaner areas - on average by 5% according to a study in London - a limitation that cannot be reversed.And air pollution can exacerbate other respiratory conditions too, including emphysema and chronic bronchitis, and lung cancer is thought to be linked as well.Dr Ben Barrett of King's College London, who is running the backpack research, says that children born in a more polluted environment face greater challenges in life.""It's not necessarily that there's a particular disease that they develop but their body is less able to cope with those challenges as they go into adolescence and into old age.""Another pathway to harm is opened up when the smallest particles find their way into the depths of the lungs, to the alveoli, from where oxygen is transferred into the bloodstream.It's been established that PM2.5 particles are small enough to make that transition as well, entering the cardiovascular system and circulating throughout the body.The risks of this include the potential for blocking the arteries, increasing the danger of stroke, along with heart disease and heart attacks.Beyond that, there's evidence that the particles can reach the brain so researchers are investigating the potential effects on conditions such as dementia.London's dirty air: How bad is it?Major cities move to ban diesel vehiclesA major Chinese study last year proposed a connection between pollution and lowered cognitive performance, while a British study published last week suggested a link to psychotic episodes in teenagers.According to Prof Jonathan Grigg of Queen Mary University London, a leading figure in research into the effects of air pollution on children, the evidence for wide-ranging impacts is growing.""We're absolutely certain that air pollution is associated with respiratory disease such as asthma and with cardiovascular disease with heart attacks and strokes, and in five years we'll be more certain about other conditions like dementia and obesity.""One new area of research is the hunt for an explanation for why babies in the most polluted areas tend to be born more prematurely and underweight compared with those born elsewhere.A small study, still under way, is investigating placentas and has found black dots that look similar to pollution particles spotted in lung cells.One of the researchers involved in the work, Norrice Liu, also at Queen Mary University, said the placenta would be expected to provide a sterile environment so the sight of black dots was a surprise.""We know what pollution particles look like when they're in the cells elsewhere in the body particularly in the lungs, and the black bits that we're seeing in the placenta are a very similar shape and colour to those what making us think they could be pollution particles.""Their presence does not prove a link with premature birth or lower birthweight but it does suggest a possible mechanism.Fifteen young mothers have so far agreed to donate their placentas to the study, and one of them, Rachel Buswell, told me that of all her concerns while pregnant, air pollution was not one of them.""It's pretty scary,"" she said, ""you protect yourself when you find out you're pregnant in as many ways as you can and that's going to be something people can't protect themselves as easily, living in London especially, it is quite frightening."""
science	Only one in 50 people have nights free from light pollution		"Just one in 50 people in England experiences nights that are free from light pollution, according to the results of a survey.The work, carried out for the Campaign to Protect Rural England (CPRE), suggests the situation has not improved since it raised the issue 12 years ago.The group says everyone should be able to witness the glory of a starry night.More than half the people taking part said they couldn’t see more than 10 stars in the constellation Orion.The self-selecting survey asked 2,300 people to count the stars in this constellation as a measure of light pollution in their area.But the CPRE can’t be sure how similar the group of people completing the last survey was to the one carrying out this one.Just a 10th of people could count up to 30 stars, whereas the Royal Observatory in Greenwich says that up to 40 could be visible to someone with a sharp eye on a clear night.Only 2% of participants had truly dark skies which allowed them to see more than 30 stars.That’s half the level of the previous Star Count in 2014.A record 2,300 people took part in the count, and the group says government, councils and the public should treat the issue more seriously.Stargazing is not the only reason for craving the darkness: artificial light at night can rob people of their sleep and harm health. It can also have disruptive effects on wildlife.Emma Marrington from the CPRE said the authorities should dim lights wherever feasible.She also urged house-holders not to leave on outdoor lights overnight. Leaving them on has become increasingly affordable with the widespread use of LEDs.Ms Marrington said: “Light doesn’t respect boundaries, and careless use can see it spread for miles from towns, cities, businesses and motorways.“That results in the loss of one of the countryside’s most magical sights – a dark, starry night sky.”Some councils have responded previously by switching off street lights after midnight, which had the added benefit of saving cash.But they often faced accusations of putting people’s safety at risk.The Local Government Association told BBC News it didn’t have a position on light pollution.Highways England said it had revised its policies on lighting. A spokesperson told us: ""We have a better understanding of where night-time accidents occur and the impact road lighting would have, so we can now be more precise about what sections need to be lit rather than a blanket lighting approach.""Risk assessments will be carried out the determine the need for the lighting. If there is no case to keep it will be de-commissioned.""Follow Roger Harrabinon Twitter."
science	Air pollution: How damaging are idling cars and buses?		"Public Health England has been talking about the steps that can be taken to reduce air pollution.One of its recommendations is to stop vehicles idling close to places such as schools and hospitals.There has been relatively little research into how common a phenomenon idling outside schools is.It is clear, however, that when looking at the impact, the sort of vehicle involved is crucial, with considerably lower emissions generally coming from newer vehicles.Many modern cars and buses have stop-start systems, which automatically switch off the engine when a vehicle stops, although those may be disabled.A project commissioned by the Mayor of London's office in 2016 measured changes in pollution after a series of ""action days"", during which teams of volunteers patrolled the streets in four areas of London, asking drivers to turn off their engines.They found levels of black carbon - a pollutant associated with car exhausts, which has been linked to lung and heart disease - were 36% lower after these ""action days"" next to a primary school in Wandsworth.But the results were not so conclusive in every area - in the City of London there was a 33% increase on the first test day and a 22% decrease on the second.The researchers said the Wandsworth location was particularly well-suited to the study, whereas in the more central locations, vans and lorries spread out along the street rather than being concentrated in one location. This made it harder to measure a strong signal.The report said that idling at school gates was ""a problem across the capital and it was pleasing to see the greatest reduction in concentrations"" outside the school.A piece of research in the US, published in 2013, looked at air quality in four schools before and after campaigns to stop vehicles idling.It found that there had been significant reductions in air pollution at the schools with more buses - those with fewer buses did not see a significant reduction in the concentration of air pollutants.Local authorities in the UK already have the power to issue fixed penalty notices to motorists in parked vehicles who refuse to turn off their engines when asked.The emissions consultancy Cambustion has looked at when it is worth switching of engines to reduce emissions.It found that for emissions of nitrogen oxide from a diesel car meeting Euro 5 requirements (that is broadly any diesel car made before late 2015) it is worth switching off the engine if you expect to be stationary for at least 30 seconds.For Euro 6 diesel cars (those manufactured after 2015) it is worth switching off if you are not going to move for three seconds.The company also told the BBC that the most emissions come from a completely cold start at the beginning of the day and for hard accelerating. Speed bumps cause particularly high emissions because of this.The body which produces national health guidance, the National Institute for Health and Care Excellence, could not find strong evidence that linked changes in driving style to changes in ambient air pollution. But it also agreed that encouraging people to change their driving style was ""unlikely to have any negative effects"".Transport for London says it tells its bus drivers to turn off their engines at bus stands and when regulating the service, and adds that it will ensure all buses in London have zero-emission engines by 2037.FirstGroup, which operates local bus services around the UK, says it encourages drivers to turn off their engines ""where possible"", and that its newer vehicles' engines will automatically cut out if they are idle for a certain period of time.What do you want BBC Reality Check to investigate? Get in touchRead more from Reality CheckFollow us on Twitter"
science	New hope for one of world's most endangered reptiles		"Baby crocodiles found living in a remote region of Nepal give hope for the future of one of the rarest and strangest reptiles on earth.With its distinctive long thin snout, the gharial is unique but critically endangered, with fewer than a thousand adults remaining in the wild.The discovery of 100 hatchlings is a boost for the potential recovery of the species, according to scientists.The crocodile is clinging to survival in India, Nepal and Bangladesh.Revealing details of the find, researcher Rikki Gumbs of ZSL (Zoological Society of London) said it was amazing to find the baby crocodiles basking on a sand bank in Bardia National Park.""Given the species is limited to around five populations across its entire range, this is such a positive discovery, and a critical step for the long-term recovery of the species in Nepal,"" he said.""After trekking through the jungle for hours to sit on a ridge and finally catch a glimpse of the hatchlings below us - it was an incredible moment to capture,"" said Ashish Bashyal, who leads the conservation project in Nepal.""At around 30cm in size, they look exactly like miniature versions of adult gharials - so incredibly cute,"" he said.The 100 baby crocs, together with three adult females and one adult male, were discovered in June, but details are only now being revealed to aid conservation efforts. The crocodile has not been sighted in the area in 30 years.There is encouraging news in that the hatchlings have recently been spotted again after the monsoon rain.""They've made it through the first big hurdle,"" Rikki Gumbs told BBC News. ""Especially with the threats that are impacting the species, it's very important that these hatchlings can make it to adulthood.""Once present across much of the Indian subcontinent, the gharial (Gavialis gangeticus) is virtually extinct across much of its former range, with fewer than 100 adult crocodiles remaining in Nepal and several fragmented populations in India. Only one other breeding population is known in Nepal, at Chitwan National Park.The crocodile poses little danger to humans. Hunting and egg collection are now prohibited, but severe pressures remain, including loss of habitat due to the construction of dams, as well as pollution, fishing, agriculture and predation from another species of crocodile found in Nepal.Adult gharials are large, with males reaching over 5 metres in length and 250kg in weight. Males develop a lump on the end of their snouts, known as a gharas, which gives the species its name.The gharial is ranked at number 17 on ZSL's EDGE (Evolutionary Distinct and Globally Endangered) of Existence programme Reptiles list.Follow Helen on Twitter."
science	Watch how air pollution moves across Europe		"This is what pollution looks like on a European scale.The animation shows the concentration and movement through the atmosphere of nitrogen dioxide.NO₂ is a problem gas that is produced primarily by vehicle exhausts and industrial activity via the burning of fossil fuels.The map covers a sample period from 5 to 10 January, and describes the behaviour of NO₂ at ground level on an hourly basis.The worst air quality peaks in the white.This fascinating insight was produced for the BBC by the Copernicus Atmosphere Monitoring Service (CAMS), which is based at the European Centre for Medium-Range Weather Forecasts (ECMWF) in Reading.To make this type of animation, CAMS incorporates satellite observations and surface measurements.But as extensive as these data-sets have now become, they don't give a complete, real-time picture.So, the scientists must also marry the sensor information with models - of how the atmosphere moves and what the weather is doing.One of the first things you'll notice in the animation is the prevalence of NO₂ emanating from the ""usual suspects"".""What you immediately see are the larger cities. You see Madrid, you see Paris, you see Moscow, you see London,"" explains Richard Engelen, the deputy head of CAMS.""Then you'll see more industrial areas, like Germany but also in the UK. You'll see too those areas where there are very dense traffic infrastructures, such as the Netherlands and Belgium where you have a lot of traffic from the two main ports at Rotterdam and Antwerp. These are the emission sources that always pop up,"" he told BBC News.Notice also the line of emissions streaming away from the Strait of Gibraltar as ships line up to navigate their passage into and out of the Mediterranean; and look at how the two great mountain ranges of Europe, the Pyrenees and the Alps, act as barriers to the movement of pollution.In northern Italy, the Alps works to trap NO₂ emissions generated in the Po Valley, giving the region among the dirtiest air in Europe.If the animation demonstrates one thing it is that pollution has no respect for national boundaries.CAMS' mission is to deliver a continuous flow of data on the quality of the air - and not just for NO₂, but a range of other pollutants (and greenhouse gases).The service's products will find their way into smartphone apps that the public and businesses can use. And, of course, all the information is made available to policy-makers so they can take steps to clean up the atmosphere.Vincent-Henri Peuch, the head of CAMS, commented: ""We are unique in the world in terms of the observations that we acquire. To deliver the CAMS products, we build on top of all of the observations that are acquired for numerical weather prediction; and the amount of satellite and in-situ data that we get has no equivalent.""It's a very good example of pulling together resources at a European level in order to provide products that no single country on its own could develop.""Copernicus is an initiative of the European Union.The British government has stated its desire to continue its involvement in the programme after Brexit.Under EU law, the average hourly level of NO₂ must not exceed 200 micrograms per cubic metre of air more than 18 times in a year; and the NO₂ annual mean value may must not exceed 40 micrograms per cubic metre.Jonathan.Amos-INTERNET@bbc.co.uk and follow me on Twitter: @BBCAmos"
science	Climate change: China coal surge threatens Paris targets		"While the rest of the world has cut coal-based electricity over the past 18 months, China has added enough to power 31 million homes.That's according to a study that says China is now in the process of building or reviving coal equivalent to the EU's entire generating capacity.China is also financing around a quarter of all proposed coal plants outside its borders.Researchers say the surge is a major threat to the Paris climate targets.China's reliance on coal as a key step in developing the economy led to the fabled ""one coal plant a week"" building programme between 2006 and 2015.But the push had many negative consequences, choking the air with pollution in many Chinese cities and leading to huge overcapacity. Many of these plants were only able to run 50% of the time.In 2015, in an attempt to curb the growth, the national government tried to clamp down on new-build coal. However, it continued to allow provincial governments the freedom to issue permits for new coal plants. That move misfired badly.Local authorities subsequently permitted up to five times more plants than in any comparable period.According to Ted Nace, from coal researchers Global Energy Monitor, it was like a ""snake swallowing a goat"".""This goat that the snake swallowed is still moving through the snake, and it's coming out in the form of another 20% in the Chinese coal fleet on top of a fleet that was already over-built,"" Mr Nace added.The researchers say that through 2018 and up to June 2019, countries outside of China cut their coal power capacity by 8.1 gigawatts (GW). In the same period, China added 43GW, enough to power around 31 million homes.The authors say that right now the amount of coal power under construction or under suspension and likely to be revived is about 147.7GW, an amount that is almost the same as the entire coal generating capacity of the European Union (150GW).Compared to the rest of the world, China is building about 50% more coal plants than are under construction in all other countries combined.The country is on track to top 1,100GW of coal by 2020.The Chinese government has signalled that it wants to rely less on coal for the country's energy production and is making some headway cutting coal's share of total energy from 68% in 2012 to 59% in 2018.However, despite the share going down, absolute coal consumption has gone up in line with overall energy demand.What concerns the researchers is that within China, coal and electricity industry groups are pushing for an even bigger increase in the country's overall coal power capacity.""The thing we are super worried about is that industry has actually organised to keep the whole thing going,"" said Ted Nace.""There are three different powerful trade groups, proposing to increase the coal fleet by 40%. This is sheer madness at this point.""China is also busy financing coal development outside the country, funding over a quarter of all the coal plants outside its borders in countries like South Africa, Pakistan and Bangladesh.Observers outside of China say they are concerned that by building or permitting these plants, the authorities are locking in a form of power generation that just doesn't make sense economically.""The economics will not be borne out,"" said Mark Lewis, head of climate change investment research at BNP Paribas Asset Management.""I would argue that almost all this new capacity that's being added will never make the economic return on which they have been premised. Those assets that are coming online now will have to be written down; they will be stranded assets essentially.""The bigger question is how this new coal will affect the ability of the world to meet the targets set out in the Paris climate agreement.The researchers say that by 2030, China needs to reduce its coal power capacity by over 40% from current levels in order to meet the reductions required to hold global warming well below 2C.""China's proposed coal expansion is so far out of alignment with the Paris Agreement that it would put the necessary reductions in coal power out of reach, even if every other country were to completely eliminate its coal fleet,"" said co-author Christine Shearer of Global Energy Monitor.""Instead of expanding further, China needs to make significant reductions to its coal fleet over the coming decade.""Global Energy Monitor was originally known as Coal Swarm and has received funding from environmental groups, including the ClimateWorks Foundation, the Rockefeller Family fund, the US National Resources Defence Council, the European Climate Foundation, among others.Follow Matt on Twitter @mattmcgrathbbc."
