id	title	text	label
0	'Events that shaped 2019'	"2019 has seen good times and bad for Việt Nam. As we prepare for a new decade and get ready to write a new chapter in Việt Nam's history, we take a look back at the news events that shaped the past 12 months."	politics-laws
1	'Việt Nam’s diplomacy achievements in 2019'	"Deputy Prime Minister and Minister of Foreign Affairs Phạm Bình Minh. –\xa0 VNA/VNS Photo\nHÀ NỘI – While the world saw profound global instability in 2019, the Pacific – Asia area proved to be the leading region in terms of economic integration, Deputy Prime Minister and Minister of Foreign Affairs Phạm Bình Minh has said.\nWriting on the achievements of Việt Nam’s diplomacy sector in 2019 as the year ended, Minh said while the global economy has slowed and\xa0conflict between globalisation and protectionism\xa0has become more fierce, the Association of South East Asia Nations (ASEAN) has stayed united and proved its\xa0important role in the policies of many major countries.\nFor Việt Nam,\xa02019 was a year with many achievements of the diplomatic sector in implementing the Party’s policies on international integration and economic diplomacy.\nThe country effectively implemented the Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP). After just a year in operation, the first new generation FTA in the world has helped Việt Nam's export turnover to members such as Japan, Canada and Mexico increase significantly compared to 2018.\nViệt Nam\xa0signed the Việt Nam - European Union Free Trade Agreement (EVFTA) with the European Union and the Investment Protection Agreement (EVIPA) and\xa0completed negotiations of the Regional Comprehensive Economic Partnership Agreement (RCEP).\nThe Global\xa0Competitiveness\xa0Index (GCI) 2019, issued on October 9 by the World Economic Forum (WEF), revealed Việt Nam had jumped 10 places from last year to 67, making it the most improved country of 2019.\nForeign direct investment (FDI) pledged to Việt Nam surpassed US$38 billion this year, marking a 10-year high and representing a year-on-year increase of 7.2 per cent. Việt Nam also welcomed more than 18 million international tourists in 2019.\nBesides economic integration, integration in\xa0politics - diplomacy, defence - security and\xa0culture - society was also strongly promoted.\nViệt Nam participated in joint maritime exercises for the first time with the US in the framework of ASEAN, signed\xa0a Framework Participation Agreement with the European Union that will facilitate\xa0Việt Nam’s\xa0contribution to the EU's Common Security and Defence Policy (CSDP) missions and operations, and\xa0ratified Convention No\xa098 of the International Labour Organisation.\nThe country sent the second level-2\xa0field hospital to join the UN Peacekeeping Mission in South Sudan after the first field hospital successfully completed its mission.\nAchieving second position at the 30th Southeast Asian Games in the Philippines recently and other outstanding achievements also confirmed Việt Nam's new position in the regional and international sports map.\nThe country's achievements in multilateral relations in 2019 also boosted its growing international status.\nEarly this year, Việt Nam hosted the second summit between the Democratic People’s Republic of Korea and the US, a move highly praised by the international community for efforts to contribute to peace in the world.\nWinning 192 out of 193 votes on June 7, Việt Nam\xa0became a non-permanent member of the UN Security Council for the 2020-21 term. This will\xa0be the second time that the country has held this post, demonstrating its wish to contribute to world security and peace and proving Việt Nam\xa0is a\xa0responsible member of the UN.\nIn terms of bilateral relations, Việt Nam maintained stable and positive relations with all countries. Leaders of Party, State,\xa0Government and National Assembly made 17 official\xa0visits abroad and received 22 high-ranking delegations paying a visit to Việt Nam, which helped gain\xa0important outcomes with\xa0partners.\nTo date, Việt Nam has established a network of 30 strategic partners and comprehensive partners.\nThe diplomatic sector contributed effectively to the defence of the nation's sovereignty and territorial integrity, both on land and at sea. Việt Nam and Cambodia have signed and ratified two legal documents recognising 84 per cent of demarcation results, creating an important foundation\xa0to build a border of peace and development.\nIn the most complicated and serious situation in the East Sea in the past five years, Việt Nam properly assessed the situation, gave prompt\xa0reactions and\xa0dealt with the situation strongly to defend the country’s legitimate rights and interests.\nAt the same time, Việt Nam has also\xa0been working with ASEAN members and partners to build the Code of Conduct in the South China Sea (COC)\xa0in accordance with international law.\nThe year 2020 has a very important meaning, when Việt Nam prepares for the Socio-Economic Development Strategy from 2021 to 2030 and celebrates 90 years of the establishment of the Việt Nam Communist Party, 75 years of the country’s establishment and 130 years of late President Hồ Chí Minh’s birthday, Minh said.\nIt is also important because Việt Nam will take on Chair of ASEAN 2020 and non-permanent member of the United Nations Security Council for the 2020-21 term, holding the two responsibilities together for the first time.\nThis will be an opportunity for Việt Nam to take advantage of bilateral relations with other countries, creating new impetus for enhancing the role and position of the country.\nWith the theme 'Cohesive and Responsive'\xa0for the ASEAN Chairmanship 2020, and\xa0'Việt Nam: Trusted Partnership for Peace and Sustainability'\xa0as the non-permanent member of the UN Security Council, Việt Nam will work\xa0with international friends and partners to foster multilateralism, the rule of law and enhance ASEAN’s centrality role in the regional structure, and further enhance\xa0co-operation between ASEAN and the UN.\nWith that spirit in mind, Việt Nam will work to affirm its important bridging role between ASEAN and the UN, contributing to the cause of promoting peace, co-operation and development in the region and in the world. – VNS"	politics-laws
2	'Six laws being put into effect from\xa0beginning of 2020'	'People march to call for an end to drink driving. — VNA/VNS Photo Minh Quyết\nHÀ NỘI — Operating vehicles under the influence of alcohol will be officially banned from Wednesday\xa0as part of\xa0the Law on Prevention and Control of Alcoholic Beverages’ Harmful Effects.\nThe existing regulations stipulate that drivers are allowed to drink\xa0alcohol before setting off in their vehicles providing they are under the limit.\nThe law\xa0is among six that are coming into force from the beginning of next year, with the Law on Enforcement of Criminal Judgments, Law on Public Investment, Law on Management and Use of Weapons, Explosives and Combat Gears, Law on Crop Production and Law on Animal Husbandry.\nThe Law on Enforcement of Criminal Judgments include\xa0two new\xa0groups of prisoners that should be held separately.\nThey are LGBT convicts\xa0and prisoners raising children under three years old.\nThe other six groups held separately\xa0are women, under-18s, foreigners, people\xa0with\xa0infectious diseases\xa0and people suffering from mental illnesses.\nThe new Law on Public Investment regulates\xa0that three forms of projects will be exempt from investment policy requirements.\nThey include\xa0projects\xa0to promptly prevent, control and mitigate the consequences of disaster and diseases;\xa0ensure national defense, security and foreign affairs; and\xa0national target programmes.\nThe Law on Management and Use of Weapons, Explosives and Combat Gear\xa0provides additional definitions of “military weapons” and “weapons with properties and uses similar to those of hunting weapons, cold weapons and sports\xa0weapons”.\nA ban on beating or maltreating livestock is part of the new\xa0Law on Animal Husbandry.\nThe law stipulates the humane treatment of livestock with\xa0adequate feed\xa0and water. Besides, every slaughterhouse\xa0must ensure livestock feel no pain or\xa0fear, and are not slaughtered in front of their\xa0fellow creatures.\nThe Law on Crop Production stipulates that organisations and individuals trading plant varieties must set up a legitimate business location and ensure that the origin of plants can\xa0be traced. — VNS'	politics-laws
3	'Deputy PM meets delegates to Việt Nam-China People’s Forum'	'Deputy Prime Minister and Foreign Minister Phạm Bình Minh on Saturday welcomes delegates to the 11th Việt Nam-China People’s Forum.— VNA/VNS Photo Lâm Khánh\nHÀ NỘI — Deputy Prime Minister and Foreign Minister Phạm Bình Minh on Saturday hosted a reception for delegates to the 11th Việt Nam-China People’s Forum.\nThe delegates included Hu Zhengyue, deputy head of the China Public Diplomacy Association, and vice chairman of the Soong Chingling Foundation Hu Zhengyue.\n\nAt the meeting, Minh said the Vietnamese Party, State and people always attach importance to\xa0enhancing ties with their Chinese counterparts.\n\nHe suggested the Vietnam Union of Friendship Organisations, the Chinese People’s Association for Friendship with Foreign Countries and the China Public Diplomacy Association work with agencies of both countries to organise activities celebrating the 70th anniversary of the bilateral diplomatic ties in\xa02020 and people-to-people exchanges.\n\nThese activities would help strengthen the\xa0friendship, boost co-operation, keep disputes under control and maintain peace and stability at sea, contributing to promoting the Việt Nam-China\xa0partnership, Minh stressed.\n\nFor his part, Hu said he was pleased with\xa0achievements in co-operation between the two countries in recent times\xa0and pledged to work with the Vietnamese side in holding friendship activities.\n\nDeputy PM Minh presented the Friendship Order of the Vietnamese President to Huang Qun, a former official of the International Liaison Department of the Central Committee of the Communist Party of China, in recognition of his contributions to the friendship\xa0between peoples of the two countries.\n\nThe 11th Việt Nam-China People’s Forum took place in Việt Nam’s central province of Nghệ An from December 25-28. — VNS'	politics-laws
4	'PM lauds information-communications sector’s achievements'	"Prime Minister Nguyễn Xuân Phúc visits the booth displaying military-run Viettel's 5G products in Hà Nội on Saturday, on the sidelines of a meeting to review the work\xa0of the Ministry of Information and Communications. — VNA/VNS Photo\nHÀ NỘI — Prime Minister Nguyễn Xuân Phúc hailed comprehensive progress in the information and communications sector this year during its conference in Hà Nội on Saturday.\nReviewing the past achievements, PM Phúc said according to the 2019 Integrated Index for Postal Development announced by the Universal Postal Union, Việt Nam ranked 45th out of 172 countries, up five places.\nIn telecommunications, the country leapt to 50th place this year from 100th in 2017 in the Global Cybersecurity Index announced by the International Telecommunication Union (ITU). Việt Nam also had the second lowest amount of mobile malware detected in Southeast Asia, only behind technologically-advanced Singapore.\nThe sector’s total revenue in 2019 is estimated at US$135 billion, translating to impressive growth of 8.8 per cent year-on-year, and it is expected to contribute over $43 billion to the State budget, up 23.4 per cent from 2018.\nOf which, the ICT industry is projected to expand 9.8 per cent in revenue to $110 billion, creating jobs for over 1 million workers, while the telecommunication industry is forecast to grow 19 per cent.\nHe lauded the pilot launch of 5G services, production of 5G equipment, press planning, and better management of information posted on foreign social media.\nThe PM asked officials and cadres of the sector to continue following the Politburo’s Resolution No.22 on information and communications, facilitating enterprises’ involvement in national digital transformation.\nNext year, all ministries, agencies and localities must be connected to share data and a cyber-security monitoring centre must be set up.\nThe Ministry of Public Security must promptly complete a population archive, considering it a foundation for e-government, he said.\nThe Ministry of Information and Communications (MIC) was also assigned to thoroughly prepare for the world digital exhibition in Việt Nam, thus improving the country’s image and prestige. In particular, the PM requested adopting more technological advances in meetings during 2020, when Việt Nam assumes ASEAN Chair.\nAs 5G development holds national strategic significance, the PM asked the MIC to provide all possible support for enterprises to develop 5G equipment, and issues incentives to attract more foreign hi-tech giants to Việt Nam, aiming towards popularisation of the technology for the entire country.\nThe leader directed seriously and actively conducting press planning and called on foreign social media to abide by Việt Nam’s laws.\nStressing the ministry’s role in developing the country’s digital economy as a way to catch up with developed nations, the Government leader suggested a name change for the ministry along the lines of the “Ministry of Communication and Digital Economy.”\nOn the occasion, the PM attended a ceremony to launch a training course for 100 e-government experts, who will later work for ministries, agencies and localities. — VNS"	politics-laws
5	'Former minister escapes death penalty over AVG scandal'	'Former minister of information and communications Nguyễn Bắc Son and other defendants in\xa0court. — VNA/VNS Photo Văn Điệp\nHÀ NỘI — Former minister of information and communications Nguyễn Bắc Son was sentenced to life imprisonment on Saturday morning\xa0in connection with the notorious AVG deal, a lighter punishment than the\xa0death penalty proposed for him previously.\nThe deal involved the State-owned communications group MobiFone’s scandalous purchase of a 95 per cent stake\xa0in\xa0Audio Visual Global JSC (AVG) for a hugely inflated\xa0price.\nOf the 14 defendants on\xa0trial, the 66-year-old former minister was sentenced to life imprisonment on charges of\xa0taking bribes worth\xa0US$3 million and 16 years in prison on charges of violating regulations on "the management and use of public capital, causing serious consequences". Son received his\xa0life sentence in summing up. The Hà Nội People’s Court said that his family had returned the $3 million to the State\xa0on Friday so the proposed death penalty was not necessary.\nSon’s deputy\xa0Trương Minh Tuấn, who went on to become minister after the scandal broke, was sentenced to 14 years in prison including eight years for taking bribes and six years for violating regulations on "the\xa0management and use of public capital, causing serious consequences".\nPhạm Đình Trọng, former head of the Ministry of Information and Communications (MIC)’s Department of Enterprise Management, was sentenced to five years in prison.\nLê Nam Trà, former chairman of MobiFone\'s board of directors, was sentenced to 23 years in prison including 16 years for taking bribes and seven years for violating management regulations.\nCao Duy Hải, former general director of MobiFone, was sentenced to 14 years in prison including 10 years for taking bribes and four years for violating the management regulations.\nOther defendants found guilty of violating regulations on the management and use of public investment capital, causing serious consequences, included Võ Văn Mạnh, director of AMAX Valuation and Investment Consultancy Company (three and a half years), and his employee\xa0Hoàng Duy Quang\xa0(three years). Phan Thị Hoa Mai, a MobiFone board member, and deputy general directors of MobiFone Phạm Thị Phương Anh, Hồ Tuấn, Nguyễn Bảo Long and\xa0Nguyễn Mạnh Hùng were sentenced to two and a half years each. Nguyễn Đăng Nguyên, another deputy general director of MobiFone, was sentenced to two years.\nPhạm Nhật Vũ, former AVG chairman, was sentenced to three years for giving bribes.\nHowever, the\xa0court did decide\xa0to release property\xa0owned by Son and Tuấn that had been seized as collateral during the investigation.\nBesides Son’s family\xa0returning\xa0$3 million,\xa0other defendants were also ordered to return misappropriated funds, including\xa0Tuấn with VNĐ4.4 billion ($192,000), MobiFone’s Trà (VNĐ55.5 billion), MobiFone’s Hải\xa0(VNĐ11.1 billion), the AMAX Valuation and Investment Consultancy Company\xa0(VNĐ340 million), and AMAX’s Quang\xa0(VNĐ54 million). All the refunds\xa0have already been paid.\nThe court said that the case was particularly serious, and the defendants from\xa0the Ministry of Information and Communications and MobiFone had infringed upon the State management of public investment and\xa0negatively affected people\'s trust in\xa0State\xa0public investment. The defendants caused damages of more than VNĐ6.6 trillion, so strict sentences were\xa0necessary, the court said.\nAccording to the indictment, in 2015, the MIC-run MobiFone bought 95 per cent of AVG for\xa0VNĐ8.9 trillion (US$382.7 million), many times higher than the real value of the struggling AVG at that time.\nDuring the purchasing process, Son, Tuấn, Trà and Hải reportedly made use of their positions to speed up the deal without the approval of the Prime Minister, despite their knowledge of the poor financial and business situation at\xa0AVG. The deal caused losses of more than VNĐ6.47 trillion ($278.21 million) to the State.\nSon also allegedly received $3 million from AVG chairman Vũ, while Trà, Hải and Tuấn got $2.5 million, $500,000 and $200,000, respectively, to accelerate the transaction. — VNS'	politics-laws
6	'Việt Nam, China hold negotiations on sea-related issues'	'BEIJING Việt Nam and China held their 12th round of negotiations regarding\xa0the seas\xa0beyond the mouth of the Gulf of Tonkin and their 9th round of talks for consultation on co-operation for mutual development at sea in Beijing on Wednesday and Thursday.\n\nThe Vietnamese delegation was led by Phùng Thế Long, vice chairman of the National Boundary Commission under the Ministry of Foreign Affairs. The Chinese side was led by Hong Liang, director of the Department of Boundary and Ocean Affairs under the Chinese Ministry of Foreign Affairs.\n\nIn a friendly, straightforward and constructive atmosphere, the two sides exchanged opinions about the two working groups’ activities. They affirmed their serious adherence to common perceptions reached by the countries’ leaders, including the 2011 agreement on basic principles guiding the settlement of sea-related issues and directions given by the heads of Governmental-level delegations for border and territorial affairs.\n\nThey shared the view that on the basis of the agreed road map and international law, especially the 1982 United Nations Convention on the Law of the Sea, to which both Việt Nam and China were parties, the two countries would\xa0exert efforts to promote negotiations on the delimitation of the sea area beyond the mouth of the Gulf of Tonkin and co-operation for mutual development in the East Sea.\n\nThe officials also agreed to organise the next rounds of negotiations\xa0in Việt Nam soon.\n\nDuring his stay in Beijing, head of the Vietnamese delegation Phùng Thế Long paid a courtesy call on Chinese Deputy Foreign Minister Luo Zhaohui. VNS'	politics-laws
7	'Lao FM commits support to Việt Nam'	'Prime Minister Nguyễn Xuân Phúc (R) meets\xa0Lao Foreign Minister Saleumxay Kommasith in Hà Nội on Thursday. — VNA/VNS Photo Thống Nhất\nHÀ NỘI — Lao Foreign Minister Saleumxay Kommasith has said that the Party, State, Government and people of Laos will do their best to help Việt Nam fulfill its role of ASEAN Chair 2020 and non-permanent member of the United Nations Security Council for 2020-21.\nHe made the statement during a reception hosted by Prime Minister Nguyễn Xuân Phúc in Hà Nội on Thursday.\nKommasith informed the PM about the success of the sixth political consultation between the two foreign ministries, saying both sides proposed measures to boost bilateral ties and raise mutual understanding.\nHe said the Vietnamese foreign ministry will share more experience with its Lao counterpart in economic diplomacy and global integration policies.\nAccording to him, the two sides signed an action programme between their two foreign ministries on co-operation to boost economic diplomacy in 2020-25.\nPM Phúc expressed his delight at the development of Việt Nam-Laos ties with regular visits this year.\nThe PM asked the two countries’ ministries, agencies and localities to soon review the implementation of the co-operation plan 2019, the bilateral co-operation agreement for 2016-20 and agreements reached by leaders.\nHe called for consensus on removing obstacles in several key projects, particularly with political and security significance.\nThe Lao government was asked to remove difficulties faced by Vietnamese firms and workers in Laos, update them about trade and investment incentives and ensure their legitimate rights.\nAs Việt Nam will serve as ASEAN Chair and a non-permanent member of the UN Security Council next year, the PM suggested the two sides increase consultations and mutual support, especially in security and strategic issues in the region, contributing to maintaining solidarity and ASEAN’s central role amid regional and global uncertainties.\nForeign Minister Saleumxay Kommasith said the Lao Foreign Ministry along with other ministries and agencies will step up ties with Vietnamese ministries, agencies and localities, thus strengthening Việt Nam-Laos solidarity.\nBorder meeting\nThe 29th annual Việt Nam-Laos border meeting took place in Hà Nội the same day.\nThe Vietnamese delegation was headed by Deputy Foreign Minister and Chairman of the National Boundary Commission Lê Hoài Trung, while the Lao side was led by Foreign Minister and head of the Laos-Việt Nam Border Committee Saleumxay Kommasith.\nBoth sides reviewed the one-year implementation of the agreement on land border management regulations and border gates, the minutes of the 28th meeting\xa0and the government-level agreement on the settlement of free migration and undocumented marriages in border areas.\nThey also discussed issues arising after upgrades of Việt Nam-Laos border demarcation.\nBoth sides shared the view that the two countries’ authorities had\xa0worked closely together on border management in line with the Protocol on Việt Nam-Laos border mechanisms.\nThey also effectively realised transport connectivity projects, especially roads via border gates, the master plan on Việt Nam-Laos land border gate development, and the master plan on border markets.\nNext year, they agreed to continue joint work to realise the Protocol on Việt Nam-Laos borderline and border markers, the agreement on land border management regulations and border gates, contributing to socio-economic development in combination with ensuring national defence of the two nations.\nConcluding the event, they signed the minutes of the meeting and agreed to hold the 30th meeting in the fourth quarter of 2020 in Laos. — VNS'	politics-laws
8	'Party leader chairs Politburo’s meeting'	'Party General Secretary, President Nguyễn Phú Trọng (centre) delivers a speech at the meeting of the Politburo in Hà Nội on Thursday. — VNA/VNS Photo Trí Dũng\nHÀ NỘI — Party General Secretary, President Nguyễn Phú Trọng presided over a meeting of the Politburo in Hà Nội on Thursday to discuss the working agenda of the Politburo and Secretariat in 2020, as well as personnel work.\nHe emphasised the importance of political events taking place in 2020 and preparations for the Party Congresses at all levels.\nHe asked the Party Central Committee’s Office to work closely with relevant agencies to review contents to be included in the 2020 working programme stressing they should be flexible, creative\xa0and responsive to newly arising problems before submitting them to the Politburo and Secretariat.\nThe leader also asked the Party Central Committee’s Office and relevant agencies to promote the outcomes in 2019 and strengthen coordination in 2020 to effectively organise meetings of the Politburo and the Secretariat.\nIn 2019, the Party Central Committee’s Office and relevant agencies have basically completed the working agenda set out since the beginning of the year, as well as submitted proposals to the Politburo and Secretariat about the country’s strategic issues in economy, society, defence-security, external affairs, Party building and political system. — VNS'	politics-laws
9	'First-instance trial on former top city official opens'	'Nguyễn Hữu Tín, former vice chairman of the HCM City People’s Committee, at the first-instance trial that began on Thursday in HCM City. He is charged with\xa0“violation of regulations on management and use of\xa0State assets,\xa0causing losses\xa0and\xa0wastefulness”. — VNA/VNS Photo Thành Chung\nHCM CITY — The HCM City People’s Court on Thursday\xa0opened the first-instance trial of the case of Nguyễn Hữu Tín, former vice chairman of the city People’s Committee, for his alleged wrongdoings in the management and use of State assets.\nTín, 62, has been\xa0charged with\xa0involvement in the sale of a public plot of land in a\xa0prime location, resulting in losses of more than\xa0VNĐ800 billion (US$34 million) to\xa0the State.\nOther defendants include Đào Anh Kiệt (former director of HCM City’s Department of Natural Resources and Environment); Nguyễn Thanh Chương (former head of the Urban Division of the Office of the city People’s Committee); Lê Văn Thanh (former deputy chief of the Office of the city People’s Committee); and\xa0Trương Văn Út (former deputy head of the Land Management Division of the Department of Natural Resources and Environment).\nTín and the four defendants are charged with\xa0“violation of regulations on management and use of\xa0State assets,\xa0causing losses\xa0and\xa0wastefulness” under\xa0the Penal Code, which would\xa0subject them to 10 to 20 years in prison.\nAccording to the indictment from\xa0the Supreme People’s Procuracy, Tín, in his former position as vice chairman of the People’s Committee,\xa0was\xa0in charge of issues regarding construction, land management and environment in the city.\nTín and the other defendants helped the now-jailed business tycoon Phan Văn Anh Vũ, also known as “Vũ Nhôm”, to acquire many other buildings\xa0and public land in\xa0prime\xa0locations in HCM City at extremely low prices, causing great damage to the State.\nTín\xa0was clearly aware that the\xa0land and buildings\xa0at 15 Thi Sách Street in HCM City’s District 1 were\xa0under State management, according to the court.\nDespite this, Tín\xa0instructed the HCM City\xa0Department of Natural Resources and Environment to\xa0lease the land to Vũ, former chairman of\xa0the Đà Nẵng-based Bắc Nam 79 Construction JSC,\xa0and not report the\xa0lease\xa0to the chairman of the city’s People’s Committee at that time.\nThe\xa0defendants then illegally handed over a 2,345sq.m\xa0lot at 15 Thi Sách Street in HCM City\xa0to one of the companies owned by Vũ.\nThey\xa0also\xa0asked Tín\xa0to issue illegal\xa0decisions on land lease, house sale and tax deductions.\nIn addition, Tín and the defendants also helped\xa0Vũ and his partners build an 18-storey building\xa0at 15 Thi Sách Street in HCM City\xa0and sell\xa0and rent it out to 114\xa0clients, earning more than VNĐ1.033 trillion.\nAs of September 17 last year, when police began investigating the case, their acts had caused a loss of VNĐ808.7 billion ($34.77 million) to the State.\nIn 2009, Vũ began moonlighting\xa0as an operative for the General Department of Intelligence of\xa0the Ministry of Public Security,\xa0but left the organisation in 2017.\nAccording to the indictment, Vũ, while serving as chairman of\xa0Bắc Nam 79 Construction JSC, used this firm as a front for the General Department of Intelligence.\nPolice said that\xa0Vũ worked behind the scenes to set up five real estate agencies under either his name or the names of his family members between 2002 and 2017.\nHe targeted public land in Đà Nẵng and managed to acquire 21 State-owned buildings and seven land projects in the city\xa0without going through\xa0public bidding, as required by\xa0law.\nVũ was already serving a\xa0sentence of nine years behind bars after a Hà Nội court found him guilty of deliberately disclosing State secrets last year.\nThe court has also summoned 18 individuals and organisations with related rights and obligations, including the city People’s Committee, the Ministry of Culture, Sports and Tourism, and Giải Phóng Film Co.\xa0Ltd, among others.\nThe trial is expected to end on\xa0December 30. — VNS'	politics-laws
